yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
193106,274.553,34.7418,nan,nan,0.0859416,0.0830785
193107,274.553,34.7413,nan,nan,0.0830997,0.0830484
193108,274.554,34.7411,nan,nan,0.0959839,0.0883448
193109,274.554,34.7408,nan,nan,0.0686419,0.0602424
193110,274.554,34.7406,nan,nan,0.0829411,0.0763086
193111,274.554,34.7406,nan,nan,0.052587,0.0491415
193112,274.554,34.7407,nan,nan,0.0570757,0.051009
193201,274.554,34.7409,nan,nan,0.0583967,0.0472435
193202,274.554,34.7411,nan,nan,0.0631511,0.0605952
193203,274.553,34.7416,nan,nan,0.0784424,0.0761087
193204,274.551,34.7421,nan,nan,0.0957296,0.0900993
193205,274.551,34.7424,nan,nan,0.0902415,0.0890026
193206,274.55,34.7421,nan,nan,0.0839768,0.0735173
193207,274.551,34.7418,nan,nan,0.0872655,0.0779297
193208,274.552,34.7414,nan,nan,0.104525,0.0937506
193209,274.552,34.7411,nan,nan,0.102289,0.0864409
193210,274.552,34.741,nan,nan,0.0597449,0.0463721
193211,274.552,34.741,nan,nan,0.0751543,0.0662784
193212,274.552,34.7411,nan,nan,0.0532197,0.0494134
193301,274.552,34.7412,nan,nan,0.044739,0.03902
193302,274.553,34.7414,nan,nan,0.0679527,0.0608302
193303,274.553,34.7418,nan,nan,0.0822272,0.0764932
193304,274.553,34.7427,nan,nan,0.0947131,0.097767
193305,274.552,34.7428,nan,nan,0.086067,0.0879118
193306,274.552,34.7426,nan,nan,0.0709877,0.0659363
193307,274.553,34.7422,nan,nan,0.0749256,0.0706798
193308,274.553,34.742,nan,nan,0.0970208,0.0956939
193309,274.553,34.7419,nan,nan,0.0823697,0.0839251
193310,274.554,34.7417,nan,nan,0.0573554,0.0524055
193311,274.554,34.7417,nan,nan,0.0622048,0.0509337
193312,274.554,34.7415,nan,nan,0.07156,0.0629525
193401,274.554,34.742,nan,nan,0.0874203,0.0900069
193402,274.555,34.7418,nan,nan,0.0851191,0.0900646
193403,274.555,34.7422,nan,nan,0.0906509,0.0939674
193404,274.554,34.7429,nan,nan,0.0828582,0.0814052
193405,274.553,34.7431,nan,nan,0.0852731,0.0804895
193406,274.553,34.7429,nan,nan,0.0800254,0.0791064
193407,274.554,34.7424,nan,nan,0.115567,0.113128
193408,274.554,34.742,nan,nan,0.124512,0.111541
193409,274.553,34.7419,nan,nan,0.101779,0.101029
193410,274.553,34.7416,nan,nan,0.0682926,0.0572775
193411,274.554,34.7415,nan,nan,0.0875208,0.0709828
193412,274.554,34.7415,nan,nan,0.0737842,0.0555335
193501,274.554,34.7416,nan,nan,0.0764701,0.0743092
193502,274.554,34.7419,nan,nan,0.116944,0.109377
193503,274.555,34.7424,nan,nan,0.088157,0.0827512
193504,274.552,34.7429,nan,nan,0.0835158,0.0742857
193505,274.551,34.743,nan,nan,0.0940934,0.0929319
193506,274.552,34.7427,nan,nan,0.0951405,0.0783801
193507,274.552,34.7423,nan,nan,0.101304,0.092641
193508,274.553,34.7422,nan,nan,0.135444,0.131689
193509,274.553,34.7418,nan,nan,0.0808904,0.077994
193510,274.554,34.7415,nan,nan,0.0839767,0.0810489
193511,274.554,34.7415,nan,nan,0.0896349,0.074205
193512,274.554,34.7415,nan,nan,0.0736257,0.0581124
193601,274.554,34.7415,nan,nan,0.0928036,0.0829696
193602,274.554,34.7416,nan,nan,0.105335,0.0900254
193603,274.553,34.7419,nan,nan,0.109695,0.0904358
193604,274.552,34.7425,nan,nan,0.096011,0.0939318
193605,274.551,34.7429,nan,nan,0.12587,0.116357
193606,274.551,34.7428,nan,nan,0.127893,0.124753
193607,274.552,34.7422,nan,nan,0.0948121,0.0916407
193608,274.553,34.7419,nan,nan,0.114583,0.121536
193609,274.553,34.7416,nan,nan,0.100111,0.0994917
193610,274.553,34.7414,nan,nan,0.0754563,0.0706917
193611,274.553,34.7413,nan,nan,0.0989769,0.09709
193612,274.553,34.7414,nan,nan,0.0866316,0.0843524
193701,274.553,34.7414,nan,nan,0.0996285,0.0955737
193702,274.554,34.7418,nan,nan,0.109284,0.105726
193703,274.553,34.7422,nan,nan,0.11869,0.101269
193704,274.552,34.7427,nan,nan,0.114921,0.110974
193705,274.552,34.7425,nan,nan,0.108078,0.101751
193706,274.552,34.7421,nan,nan,0.115395,0.111229
193707,274.552,34.7418,nan,nan,0.101336,0.105522
193708,274.552,34.7414,nan,nan,0.111175,0.110949
193709,274.553,34.7411,nan,nan,0.0832349,0.0769828
193710,274.553,34.741,nan,nan,0.0609766,0.0532687
193711,274.552,34.7407,nan,nan,0.0661642,0.0546838
193712,274.552,34.7407,nan,nan,0.0878064,0.0702607
193801,274.553,34.7409,nan,nan,0.0930831,0.0708476
193802,274.552,34.7411,nan,nan,0.104314,0.0893335
193803,274.552,34.7415,nan,nan,0.105233,0.0983618
193804,274.551,34.7418,nan,nan,0.109778,0.104071
193805,274.55,34.7422,nan,nan,0.110397,0.101161
193806,274.55,34.742,nan,nan,0.1129,0.108381
193807,274.55,34.7417,nan,nan,0.117889,0.110746
193808,274.551,34.7415,nan,nan,0.1276,0.122428
193809,274.552,34.7413,nan,nan,0.0923985,0.0869704
193810,274.552,34.7409,nan,nan,0.0810745,0.0733179
193811,274.552,34.7408,nan,nan,0.0985994,0.0905628
193812,274.552,34.7409,nan,nan,0.104579,0.0956586
193901,274.552,34.7411,nan,nan,0.121326,0.106454
193902,274.552,34.7412,nan,nan,0.116918,0.10982
193903,274.552,34.7415,nan,nan,0.106757,0.0974343
193904,274.551,34.7419,nan,nan,0.101667,0.0923187
193905,274.55,34.7421,nan,nan,0.0976884,0.0881271
193906,274.55,34.742,nan,nan,0.0992647,0.0940521
193907,274.551,34.7416,nan,nan,0.108348,0.101572
193908,274.552,34.7413,nan,nan,0.117573,0.11802
193909,274.552,34.741,nan,nan,0.0607875,0.0609191
193910,274.552,34.7408,nan,nan,0.0530486,0.0478681
193911,274.553,34.7407,nan,nan,0.0546594,0.0530329
193912,274.553,34.7408,nan,nan,0.0626182,0.0462364
194001,274.553,34.7409,nan,nan,0.0652882,0.062551
194002,274.553,34.7411,nan,nan,0.066299,0.0617423
194003,274.552,34.7415,nan,nan,0.0728612,0.0749531
194004,274.551,34.742,nan,nan,0.0649764,0.0580892
194005,274.551,34.7422,nan,nan,0.0840926,0.0768744
194006,274.551,34.742,nan,nan,0.0692234,0.0658122
194007,274.552,34.7417,nan,nan,0.0753475,0.0719209
194008,274.552,34.7413,nan,nan,0.096654,0.0945662
194009,274.553,34.7411,nan,nan,0.0764804,0.0708805
194010,274.553,34.7408,nan,nan,0.0577845,0.0508748
194011,274.553,34.7407,nan,nan,0.0727099,0.0751051
194012,274.553,34.7408,nan,nan,0.0636878,0.0619223
