yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
199507,276.551,34.7238,0.326712,0.0512952,0.687951,0.276471
199508,276.548,34.7236,0.326735,0.0513614,0.688115,0.259309
199509,276.547,34.7229,0.328859,0.051249,0.683792,0.262309
199510,276.548,34.723,0.325957,0.0512698,0.706572,0.280227
199511,276.551,34.7227,0.327266,0.0518458,0.67951,0.1905
199512,276.556,34.7227,0.327645,0.0518012,0.668771,0.225944
199601,276.557,34.7228,0.327429,0.0519835,0.671767,0.22499
199602,276.568,34.7227,0.327845,0.0515818,0.671854,0.232664
199603,276.568,34.7228,0.328417,0.0519008,0.690285,0.227498
199604,276.57,34.723,0.328097,0.0520963,0.685119,0.206759
199605,276.564,34.7228,0.329245,0.0520071,0.655246,0.288599
199606,276.563,34.7222,0.330798,0.0521556,0.665813,0.233091
199607,276.562,34.7226,0.33048,0.0521244,0.659727,0.185487
199608,276.557,34.7224,0.328801,0.0523802,0.65903,0.19581
199609,276.561,34.722,0.328878,0.0523428,0.687972,0.206817
199610,276.561,34.7225,0.327511,0.0520606,0.691656,0.247092
199611,276.562,34.7226,0.327078,0.0522262,0.679747,0.192953
199612,276.563,34.7227,0.328206,0.0524247,0.664778,0.194128
199701,276.564,34.7223,0.327945,0.0524263,0.652231,0.213766
199702,276.562,34.7219,0.326487,0.0522366,0.68837,0.233968
199703,276.566,34.7219,0.326188,0.0524698,0.687058,0.183415
199704,276.569,34.7225,0.326071,0.0526029,0.683509,0.197545
199705,276.565,34.7225,0.325521,0.052487,0.697999,0.243029
199706,276.56,34.7224,0.326943,0.0523172,0.682927,0.244195
199707,276.554,34.7224,0.325821,0.0524011,0.688032,0.234352
199708,276.554,34.7225,0.324632,0.0523284,0.708642,0.261865
199709,276.558,34.7223,0.326591,0.0519857,0.705258,0.263277
199710,276.561,34.7223,0.325173,0.0520702,0.683901,0.237521
199711,276.561,34.7219,0.329922,0.0520926,0.61783,0.258582
199712,276.564,34.7224,0.327495,0.0521192,0.673628,0.236256
199801,276.559,34.7223,0.323977,0.0520127,0.713673,0.247639
199802,276.572,34.7223,0.32533,0.0520413,0.681439,0.294679
199803,276.571,34.7228,0.323814,0.0521329,0.713222,0.269938
199804,276.571,34.7231,0.324708,0.0523988,0.699463,0.245587
199805,276.57,34.7231,0.327225,0.0523951,0.653098,0.276835
199806,276.568,34.7227,0.327283,0.0522456,0.678414,0.256711
199807,276.564,34.7229,0.328289,0.0520998,0.657827,0.243545
199808,276.56,34.7234,0.326345,0.051766,0.684164,0.262551
199809,276.563,34.7231,0.328219,0.0520168,0.643956,0.255091
199810,276.572,34.7228,0.32636,0.0519289,0.678512,0.285068
199811,276.569,34.7227,0.324721,0.0520524,0.668105,0.262233
199812,276.572,34.7226,0.323568,0.0521994,0.686335,0.278779
199901,276.573,34.7227,0.322572,0.0520711,0.676005,0.244019
199902,276.571,34.7232,0.32427,0.0520056,0.683467,0.270469
199903,276.573,34.7239,0.323277,0.0520826,0.686953,0.26574
199904,276.577,34.7249,0.326496,0.0517135,0.672524,0.293437
199905,276.572,34.7247,0.325344,0.0517107,0.68018,0.300425
199906,276.567,34.724,0.325946,0.0519456,0.665128,0.25221
199907,276.565,34.7239,0.326941,0.051763,0.642917,0.28432
199908,276.565,34.7236,0.327224,0.0516094,0.667401,0.286107
199909,276.568,34.7234,0.329756,0.051426,0.62296,0.323799
199910,276.568,34.7235,0.327182,0.0513589,0.671333,0.305819
199911,276.57,34.7235,0.32706,0.0516611,0.629237,0.270496
199912,276.57,34.7232,0.328303,0.0521514,0.631992,0.244303
200001,276.573,34.7236,0.32486,0.0518092,0.681886,0.3011
200002,276.577,34.7235,0.32656,0.0517183,0.650765,0.312604
200003,276.572,34.7239,0.327142,0.0519125,0.653874,0.27732
200004,276.566,34.7241,0.328351,0.0518011,0.637096,0.303063
200005,276.569,34.7241,0.328458,0.0518212,0.644682,0.295681
200006,276.565,34.724,0.330377,0.0516403,0.612935,0.309577
200007,276.562,34.7236,0.330225,0.0513071,0.621755,0.307767
200008,276.565,34.7231,0.33079,0.0513846,0.620359,0.309216
200009,276.567,34.723,0.329145,0.0512794,0.655288,0.321796
200010,276.568,34.7234,0.329275,0.050909,0.642574,0.348739
200011,276.563,34.7231,0.330017,0.0509355,0.638552,0.328698
200012,276.567,34.7225,0.328458,0.0510513,0.658848,0.345349
200101,276.569,34.7224,0.328941,0.0509915,0.628384,0.33169
200102,276.571,34.7219,0.329326,0.0510025,0.639074,0.33952
200103,276.571,34.7218,0.32669,0.0511294,0.674251,0.343181
200104,276.569,34.7221,0.32915,0.0510406,0.635424,0.348761
