yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
191212,273.873,34.6194,0.31814,0.0643928,0.0340539,0.0307209
191301,273.878,34.622,0.318706,0.064465,0.0156046,0.00720698
191302,273.875,34.6226,0.318574,0.064269,0.0410574,0.0435718
191303,273.875,34.6231,0.318219,0.0641402,0.0421666,0.0442357
191304,273.875,34.6252,0.31795,0.0640671,0.0449556,0.0448729
191305,273.866,34.6231,0.317085,0.0639031,0.0626473,0.0639736
191306,273.859,34.6204,0.315749,0.0637341,0.0815173,0.0827585
191307,273.857,34.6163,0.314219,0.0637443,0.094461,0.0934037
191308,273.87,34.614,0.31561,0.0639014,0.06296,0.0647969
191309,273.874,34.6147,0.317128,0.0641843,0.0282408,0.0143195
191310,273.867,34.6174,0.318036,0.0643344,0.0182469,0.00780152
191311,273.866,34.6185,0.318559,0.0644124,0.0214918,0.0123193
191312,273.877,34.6187,0.318936,0.064475,0.0189403,0.00947357
191401,273.881,34.6211,0.319102,0.0644269,0.0136552,0.0127937
191402,273.882,34.623,0.319195,0.0644083,0.0191668,0.0234319
191403,273.886,34.6246,0.31923,0.0643912,0.0196781,0.0218234
191404,273.886,34.6269,0.318894,0.0643097,0.0318299,0.0313906
191405,273.875,34.6254,0.318118,0.0641996,0.0462013,0.0421266
191406,273.868,34.622,0.318416,0.0642428,0.0347671,0.0321165
191407,273.868,34.6181,0.318322,0.0642695,0.0489684,0.0430776
191408,273.88,34.6157,0.318721,0.0643558,0.0346718,0.030548
191409,273.882,34.6162,0.319061,0.0644298,0.0178988,0.0156036
191410,273.875,34.6188,0.319264,0.0644696,0.0146608,0.0123293
191411,273.871,34.6197,0.319346,0.0644631,0.015175,0.0110768
191412,273.882,34.6198,0.319401,0.0644671,0.0153098,0.0111176
191501,273.886,34.6222,0.319453,0.0644713,0.0142767,0.0110156
191502,273.887,34.6245,0.319484,0.0644738,0.0139747,0.0110405
191503,273.889,34.6264,0.319496,0.0644748,0.0144128,0.0110847
191504,273.886,34.6279,0.319506,0.0644761,0.0150071,0.01181
191505,273.881,34.6266,0.319494,0.064476,0.0164451,0.0125182
191506,273.872,34.6229,0.319483,0.0644745,0.0174574,0.0133912
191507,273.876,34.6188,0.319474,0.0645011,0.0235361,0.0155436
191508,273.887,34.6166,0.319457,0.0645218,0.0274476,0.0207158
191509,273.888,34.617,0.319497,0.0645286,0.0157833,0.010594
191510,273.88,34.6196,0.319525,0.0645392,0.0156058,0.0101862
191511,273.875,34.6205,0.319504,0.0645631,0.0194574,0.00115273
191512,273.886,34.6205,0.319554,0.064577,0.0146905,3.96749e-08
191601,273.889,34.623,0.319564,0.0645854,0.019409,8.80681e-05
191602,273.89,34.6254,0.319593,0.0645906,0.0142179,0.000115236
191603,273.893,34.6272,0.319611,0.0645939,0.0140269,3.30381e-08
191604,273.889,34.6285,0.31962,0.064596,0.0141642,3.25776e-08
191605,273.884,34.6273,0.319585,0.0645973,0.0154471,3.46828e-08
191606,273.875,34.6233,0.319517,0.0645982,0.0210392,4.21186e-08
191607,273.877,34.619,0.319012,0.0644884,0.0499172,0.0314427
