Time,Anomaly,Lower,Upper
2011,0.9847180357697312,0.5940867481297312,0.657479848129731
2012,1.1242749205353562,0.7325883628953562,0.7980919528953563
2013,1.1305615416291062,0.7365352839891062,0.8067183839891061
2014,0.9417798033478562,0.5488782657078561,0.6168117957078563
2015,0.9181897154572312,0.525427657817231,0.593082287817231
2016,1.0802685728791062,0.690170215239106,0.7524973652391063
2017,1.1516186705353562,0.7622844128953561,0.8230834128953561
2018,1.1812207213166062,0.7906839336766063,0.8538879236766064
2019,1.1903759947541062,0.7971558971141062,0.8657265371141061
2020,1.1860424986603562,0.7924853410203563,0.8617302010203562
2021,1.2439038267853562,0.8485212191453562,0.9214169191453561
2022,1.2013012877228562,0.8063188900828562,0.8784142300828564
2023,1.2472607603791062,0.8496639027391064,0.926988102739106
2024,1.2373425474884812,0.7961764898484809,0.9606389898484808
2025,1.2918774595978562,0.8940137959578561,0.9718715969578562
2026,1.3895642271759812,0.9917005635359811,1.0695583645359812
2027,1.4550854674103562,1.0572218037703562,1.1350796047703562
2028,1.4096142760041062,1.0117506123641062,1.0896084133641062
2029,1.3758007994416062,0.9779371358016061,1.0557949368016062
2030,1.3921582213166062,0.9942945576766061,1.0721523586766062
2031,1.4666211119416062,1.0687574483016062,1.1466152493016062
2032,1.4602734556916062,1.0624097920516062,1.1402675930516062
2033,1.5983960142853562,1.2005323506453562,1.2783901516453562
2034,1.5893628111603562,1.1914991475203562,1.2693569485203562
2035,1.4162365904572312,1.0183729268172312,1.0962307278172312
2036,1.5200879088166062,1.1222242451766062,1.2000820461766062
2037,1.5945507994416062,1.1966871358016062,1.2745449368016062
2038,1.7721020689728562,1.3742384053328562,1.4520962063328562
2039,1.8161084166291062,1.4182447529891062,1.4961025539891062
2040,1.7269055357697312,1.3290418721297312,1.4068996731297312
2041,1.6176831236603562,1.2198194600203562,1.2976772610203562
2042,1.7569348326447312,1.3590711690047312,1.4369289700047312
2043,1.7578198424103562,1.3599561787703562,1.4378139797703562
2044,1.6243359556916062,1.2264722920516062,1.3043300930516062
2045,1.7185132017853562,1.3206495381453562,1.3985073391453562
2046,1.8410717955353562,1.4432081318953562,1.5210659328953562
2047,2.080573748660356,1.6827100850203562,1.7605678860203562
2048,1.9218823424103562,1.5240186787703562,1.6018764797703562
2049,1.8126904478791062,1.4148267842391062,1.4926845852391062
2050,1.8719555845978562,1.4740919209578562,1.5519497219578562
2051,1.8976208678009812,1.4997572041609812,1.5776150051609812
2052,1.9600598326447312,1.5621961690047312,1.6400539700047312
2053,1.5886303892853562,1.1907667256453562,1.2686245266453562
2054,0.8613354674103562,0.4634718037703561,0.5413296047703562
2055,1.2479321470978562,0.8500684834578561,0.9279262844578562
2056,1.6094433775666062,1.2115797139266062,1.2894375149266062
2057,1.6817700377228562,1.2839063740828562,1.3617641750828562
2058,1.8404614439728562,1.4425977803328562,1.5204555813328562
2059,1.6692273131134812,1.2713636494734812,1.3492214504734812
2060,1.9140088072541062,1.5161451436141062,1.5940029446141062
2061,1.9787671080353562,1.5809034443953562,1.6587612453953562
2062,1.8715893736603562,1.4737257100203562,1.5515835110203562
2063,1.8693310728791062,1.4714674092391062,1.5493252102391062
2064,1.9093396178009812,1.5114759541609812,1.5893337551609812
2065,2.023383807254106,1.6255201436141062,1.7033779446141062
2066,2.144843768191606,1.7469801045516062,1.8248379055516062
2067,2.228980731082231,1.8311170674422312,1.9089748684422312
2068,2.097175311160356,1.6993116475203562,1.7771694485203562
2069,2.223334979129106,1.8254713154891062,1.9033291164891062
2070,2.380225848269731,1.9823621846297312,2.060219985629731
2071,2.253669451785356,1.8558057881453562,1.9336635891453562
2072,2.153449725222856,1.7555860615828562,1.8334438625828562
2073,2.155891131472856,1.7580274678328562,1.8358852688328562
2074,2.298347186160356,1.9004835225203562,1.9783413235203562
2075,2.293342303347856,1.8954786397078562,1.9733364407078562
2076,2.191291522097856,1.7934278584578562,1.8712856594578562
2077,2.244666766238481,1.8468031025984812,1.9246609035984812
2078,2.391975115847856,1.9941114522078562,2.071969253207856
2079,2.392158221316606,1.9942945576766062,2.072152358676606
2080,2.390449236941606,1.9925855733016062,2.070443374301606
2081,2.300666522097856,1.9028028584578562,1.9806606594578562
2082,2.323890399050981,1.9260267354109812,2.003884536410981
2083,2.358863543582231,1.9609998799422312,2.038857680942231
2084,2.323463152957231,1.9255994893172312,2.003457290317231
2085,2.413428973269731,2.0155653096297312,2.093423110629731
2086,2.264167498660356,1.8663038350203562,1.9441616360203562
2087,2.359260272097856,1.9613966084578562,2.039254409457856
2088,2.335731219363481,1.9378675557234812,2.015725356723481
2089,2.335883807254106,1.9380201436141062,2.015877944614106
2090,2.576667498660356,2.1788038350203562,2.256661636020356
2091,2.605140399050981,2.2072767354109812,2.285134536410981
2092,2.412391375613481,2.0145277119734812,2.092385512973481
2093,2.347541522097856,1.9496778584578562,2.027535659457856
2094,2.372047137332231,1.9741834736922312,2.052041274692231
2095,2.454688738894731,2.0568250752547312,2.134682876254731
2096,2.464576434207231,2.0667127705672312,2.144570571567231
2097,2.512061785769731,2.1141981221297312,2.192055923129731
2098,2.644355486941606,2.2464918233016062,2.324349624301606
2099,2.591804217410356,2.1939405537703562,2.271798354770356
