method_name,method_class,c/r,#q<0.1,#q<0.5,100bias,100log-l,75RMS,Edyrs15,Edyrs20,EdyrsA,Fdyrs15,Fdyrs20,Mdyrs15,Mdyrs20,RMSyrsA,avg_unc.(1se),bias,bias50,e100bias,e100log-l,e75RMS,eEdyrs15,eEdyrs20,eEdyrsA,eFdyrs15,eFdyrs20,eMdyrs15,eMdyrs20,eRMSyrsA,ebias50,el15,el20,l15,l20,log-likeli,ncEdyrs,nceEdyrs,q_min,q_small5,smooth_r,tlog-l,RMS,100RMS,e100RMS
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,0.02,0.9,0.026092081503434564,143.94275542452277,0.043935205204226044,-0.6126944442918056,-1.0,-1.0092736771046313,-3.389999999844822,-1.0,-0.7433333331805626,-1.0,3.011029120921299,0.05244613903066647,0.008723208305845088,0.02945222352680402,0.02609208150343458,111.81839995473378,0.06146446372351877,-0.3054166665143992,-1.0,-0.8524537035599331,-2.879999999845377,-1.0,0.1300000001518766,-1.0,3.0907870369993207,0.029452223526804024,4.4709716818091305,0.0,5.658111162490708,0.0,1.6618721778825767,10.272,10.405999999999999,0.8126573389763051,0.8619178386971099,5.81416,365.6118791341669,0.04380053770533863,0.04519187976807324,0.06630169408817162
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,0.08,1.36,0.02840868674895975,144.30150342767857,0.04277902493685202,-0.5262499998474148,-1.0,-1.2791898146705565,-2.094999999845977,-1.0,-0.5416666665140748,-1.0,3.1058450621173574,0.05381916669908568,0.009225353852121886,0.032671797777477016,0.028408686748959768,112.8074606091852,0.06031845160151144,-0.14347222207007462,-1.0,-1.2039027776336864,-1.5849999998465318,-1.0,0.4266666668182916,-1.0,3.4184861110788307,0.032671797777477016,4.336480847010755,0.0,5.687384870666973,0.0,1.6393015882963133,8.088,8.206,0.7728441367310623,0.8087733742506598,3.1871199999999997,360.646349425189,0.04429422578152454,0.04413523341395265,0.06604029057248045
GAM_AR1,42/4_GAM_AR1,c,11.16,39.28,0.023087833507056833,127.51229899017336,0.05717764585080016,-2.271666666512495,-1.0,-1.1681600527658431,-3.4666666665114008,-1.0,-2.094999999845977,-1.0,2.782482099147466,0.05357145171674281,-0.006129023788854592,0.046461406988488864,0.02308783350705685,97.40930554143053,0.06939397884618047,-2.1183333331793923,-1.0,-1.1064652776332935,-2.9566666665119556,-1.0,-2.0349999998461317,-1.0,2.8658541666353754,0.04646140698848886,4.3532322163310635,0.0,5.117436336479336,0.0,1.085608121283313,8.972000000000001,9.288,0.05812302770728964,0.10425524011666042,6.182659999999999,230.14892171206236,0.06599362091916072,0.05783943711342688,0.07575573051893533
FaIR_all_unB,43/1_ERF_FaIR,c,0.16,0.68,-0.001295011486149503,125.880348803709,0.04902154025380699,1.432222222370125,-1.0,0.9332367726166825,0.4400000001486296,-1.0,1.7783333334807412,-1.0,7.873763219206619,0.0822298540342791,-0.00287686443016633,-0.034578242758626414,-0.001295011486149526,117.58601269237002,0.05722150471459021,1.4155555557036736,-1.0,0.7859953704998592,0.6266666668153219,-1.0,1.04666666681494,-1.0,3.5462268518554265,-0.03457824275862644,3.9971488817302236,0.0,4.249657196459242,0.0,1.3178359642221356,6.166,6.278,0.638291133831018,0.9851776153492884,3.39494,212.1715902397638,0.05950866999682091,0.049162054546204224,0.06099710095748547
FaIR_nonat_unB,43/1_ERF_FaIR,c,0.0,0.0,0.0019081860461900551,125.99711472783152,0.052422736751251704,-1.0604166665165016,-1.0,0.11420370383340032,-2.348333333182163,-1.0,-1.2716666665164849,-1.0,8.103018579384418,0.0796372058946101,-0.01296886027908984,-0.03551359643726965,0.0019081860461900638,117.77952386677431,0.05949979757294146,-1.0862499998496136,-1.0,0.12793981494348014,-2.1616666665154707,-1.0,-1.2699999998496287,-1.0,3.3721990740725327,-0.035513596437269694,4.108639063861633,0.0,4.4102248997930795,0.0,1.3920886628163445,6.184,6.256,0.9725177993990727,0.9725177993990727,1.87954,224.12627471343146,0.05268533292340444,0.05179020594226843,0.06228592934501161
etrend30y,42/3_ST_Fits,c,5.26,37.82,0.02200776163121698,140.37192641624995,0.048627863326005,-1.9202777776239586,-1.0,-1.4278161374217464,-2.6799999998454767,-1.0,-2.1683333331792802,-1.0,3.0552171632726597,0.04431770709351759,0.0015644460818685154,0.03217375228366543,0.022007761631216996,83.87571257019745,0.06513438880872752,-1.6569444442909558,-1.0,-1.3482129628187371,-2.1699999998460315,-1.0,-1.3583333331801168,-1.0,3.120481481437987,0.03217375228366543,4.39012759988162,0.0,6.31237063992883,0.0,1.3952579707170225,7.416,7.612,0.13991995515925468,0.17627084878337318,2.9706,295.7946897920088,0.05515758990040491,0.04895513171232499,0.06942749455888479
Kal_flexLin,42/5_Kalman,c,0.8,9.54,0.01727423384640688,149.29655490022407,0.04587154372500253,-0.8793888887360204,-1.0,-0.5215160051474174,-3.213333333178343,-1.0,-0.383333333180908,-1.0,2.5684829588600815,0.0519255825811747,0.0008826428014632761,0.02160602033140351,0.017274233846406896,101.26527352182589,0.06494206733776628,-0.5877777776252651,-1.0,-0.3693379628196349,-2.703333333178898,-1.0,0.09666666681854622,-1.0,2.9099953703557704,0.021606020331403512,4.829229337716065,0.0,6.025780916066448,0.0,1.521140416840529,9.124,9.34,0.3623919591715034,0.5401920095612598,4.63204,351.38343629016214,0.05255949010928769,0.045863126207637425,0.06834377968899503
Kalman_RW,42/5_Kalman,c,1.2,10.3,-0.014118325071592273,136.06320720372037,0.048392584251422024,2.7800000001495624,-1.0,2.6526593916750913,-0.7033333331805898,-1.0,5.491666666813762,-1.0,3.4722253089420083,0.0539348036943787,-0.017270521507027264,0.009278911280737821,-0.01411832507159232,100.16364194364579,0.06468132515702968,3.0002777779270495,-1.0,2.834282407548298,-0.1933333331811445,-1.0,4.615000000147793,-1.0,3.3212731482197273,0.009278911280737837,5.030466721203033,0.0,5.449836862136987,0.0,1.4271980053563746,10.796,11.05,0.28622237555113333,0.48250617979481275,6.10096,329.68273923732255,0.057629343590388245,0.05335388681725222,0.0713007183027188
FaIR_anthro,43/1_ERF_FaIR,c,1.52,12.84,0.015330520562957348,124.52756185715705,0.048816289462619414,-3.8361111109555215,-1.0,-1.6582248675867464,-4.5316666665104455,-1.0,-3.4366666665114463,-1.0,6.5792236067413095,0.08073054322454486,-0.02289781672471102,-0.010685155929940087,0.01533052056295737,120.6353290972408,0.05267970921064855,-3.5569444442891966,-1.0,-1.5772685183816872,-4.021666666511001,-1.0,-3.4533333331781795,-1.0,3.7786574073557118,-0.010685155929940118,3.7352648897732625,0.0,3.98295841630284,0.0,1.1163917683654716,6.3020000000000005,6.296,0.569996220828896,0.57101780945269,1.5733000000000001,179.7390747068409,0.07029474110530896,0.049097732222313534,0.05579108319701918
FaIR_anthro_unB,43/1_ERF_FaIR,c,1.54,13.9,0.002405436617938021,119.95022846583002,0.0559272263268162,-2.219166666512555,-1.0,-0.20445238082274755,-3.26499999984494,-1.0,-2.1299999998459676,-1.0,8.366728594941693,0.08073597400475874,-0.030069727085738757,-0.038326162391944286,0.0024054366179380214,115.36753464747575,0.06004317326836679,-1.9847222220684153,-1.0,-0.2805820104530252,-2.754999999845495,-1.0,-1.928333333179571,-1.0,3.255119047613743,-0.03832616239194431,3.8081613687749662,0.0,4.0316493858367215,0.0,1.0878394909177767,6.013999999999999,6.087999999999999,0.5572219615947589,0.5576776374061878,1.60248,175.14215803776204,0.07270381969278289,0.05496853091048493,0.06194987375204441
FaIR_nonat,43/1_ERF_FaIR,c,0.0,0.0,0.01130185996592233,115.33842463370286,0.04567335618470252,-2.631944444289943,-1.0,-1.228828703565488,-3.67999999984454,-1.0,-2.35333333317908,-1.0,6.4731260122405585,0.0994088336037438,-0.010510829922677219,-0.014461586819564044,0.01130185996592236,110.35814708712574,0.052769553664300015,-2.307499999845886,-1.0,-1.0961342591223933,-3.169999999845095,-1.0,-1.948333333179553,-1.0,3.9011342592194045,-0.014461586819564087,3.3932356031619935,0.0,3.6049494644279902,0.0,1.2533080515492636,6.452000000000001,6.468,0.9927367886608459,0.9927367886608459,1.8917000000000002,201.78259629943142,0.05189069232380039,0.046344687439014175,0.05741105994709082
GAM_AR0,42/4_GAM_AR1,c,8.94,44.82,0.021611202879574506,143.4470999045957,0.04880287302862665,-1.4727777776243578,-1.0,-1.2349629628188261,-2.6116666665122104,-1.0,-0.8783333331804534,-1.0,3.207812563562491,0.05008561783769558,0.002212671724394222,0.030530893438032513,0.021611202879574517,89.3968261504969,0.06602277937234259,-1.0811111109581377,-1.0,-1.1145277776337605,-2.101666666512765,-1.0,-0.4899999998475596,-1.0,3.035564814782881,0.030530893438032523,4.58399299107553,0.0,6.023940583655381,0.0,1.1628035425040257,7.772,7.99,0.03930896195909965,0.10851439291261639,5.39452,246.51435101085343,0.06897348098360398,0.04839834116605962,0.07008957372128857
