method_name,method_class,c/r,#q<0.1,#q<0.5,100bias,100log-l,Edyrs15,Edyrs20,EdyrsA,Fdyrs15,Fdyrs20,Mdyrs15,Mdyrs20,RMSyrsA,avg_unc.(1se),bias,bias50,e100bias,e100log-l,eEdyrs15,eEdyrs20,eEdyrsA,eFdyrs15,eFdyrs20,eMdyrs15,eMdyrs20,eRMSyrsA,ebias50,el15,el20,l15,l20,log-likeli,ncEdyrs,nceEdyrs,q_min,q_small5,smooth_r,tlog-l,RMS,100RMS,75RMS,e100RMS,e75RMS
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,16.22,34.52,0.037633486564192506,102.40387296248855,-0.8133333331879112,-2.522083333161638,-1.8585553912054744,-1.7199999998537578,-3.4649999998284784,-1.2949999998541397,-3.0866666664954936,3.508160766434113,0.053560529875315004,0.0007740319808595585,0.0574135344525412,0.03909010654936846,-2.0771434631829133,-0.5916666665213733,-2.7119444442747365,-2.0129380340278225,-1.49833333318722,-3.369999999829688,0.08833333347801271,-2.4999999998304885,3.5248824785602064,0.06144320771100485,3.9246856657539655,1.9319870867879567,5.942978818498481,4.488677557888716,1.0491974049187092,16.317999999999998,16.218,0.012206261481730483,0.027619981060794708,6.622380000000001,230.82342908211606,0.06690606779947517,0.07219878540682319,0.07655151412293049,0.11852491997017668,0.1256228451238109
FaIR_nonat_unB,43/1_ERF_FaIR,c,43.36,84.4,0.0015955940393045961,96.40782751848752,-2.5766666665196727,2.137500000166642,0.2579347737204454,-2.5766666665196727,2.123333333499986,-2.5766666665196727,2.1516666668332984,5.096639348109588,0.08865680666508316,-0.08590792151667437,-0.03015859664987497,0.00304392800813513,101.69492385516116,-2.354999999853135,2.2325000001651962,0.034188034346943216,-2.354999999853135,2.2183333334985402,-2.354999999853135,2.2466666668318522,2.0261965811937075,-0.026211686109612043,3.0955709523597523,3.416911116283511,3.5516118890910082,3.313648864669417,-0.026469319057299556,13.28,13.28,0.03453604827810911,0.03456253149759716,3.1113600000000003,-4.235091049167927,0.14969421406517813,0.08079543951165004,0.08847040151002698,0.07252585454571292,0.07171058842020432
FaIR_all_unB,43/1_ERF_FaIR,c,43.32,83.5,0.0009460057766148356,65.84866698533675,-1.2705555554097419,1.095833333502346,0.4583403866259252,-3.738333333185269,-0.9583333331639188,-0.26999999985509476,2.6916666668347444,4.916189850875019,0.09023673517107962,-0.08791368741435145,-0.028778896934981226,0.0023943397454453523,9.809397542414272,-0.9224999998544279,0.8122222223886881,0.1869551283614927,-3.516666666518731,-0.8633333331653376,1.5233333334766848,2.2483333334984947,4.018450854688677,-0.02483198639471832,2.2359047907956633,2.526658465264711,3.0083173367026457,3.3277478474954645,-0.4210560763978792,18.512,18.134,0.00010332252758179746,0.0012575959814711073,7.30908,-67.36897222366068,0.17357979560865122,0.12581174849691534,0.12814434495851554,0.1670457747426931,0.1730516527852875
FaIR_anthro_unB,43/1_ERF_FaIR,c,60.94,85.66,0.0019178084490388942,91.9955810741848,-3.0499999998525573,2.265000000166501,0.20820387961449252,-3.0499999998525573,2.265000000166501,-3.0499999998525573,2.265000000166501,5.410443168425928,0.09342889511787479,-0.10144335344660843,-0.035373651249924726,0.003366142417869422,97.42585725312549,-2.8283333331860194,2.3600000001650643,0.01980769246555433,-2.8283333331860194,2.3600000001650643,-2.8283333331860194,2.3600000001650643,2.050961538457377,-0.03142674070966181,2.816025680537932,3.2533395182487617,3.182617137697932,3.1730903646258297,-0.7939770824396868,13.0,12.94,0.0049081408108532735,0.00504335953435901,2.5558199999999998,-127.0363331903499,0.17144621136058946,0.0842266496621461,0.09149731489420553,0.073944474581674,0.07293678862248978
Kal_flexLin_ocn,42/5_Kalman,c,57.94,137.44,0.021902006251467,58.56629987525288,0.06416666681125215,-1.7783333331617572,-1.195526163488936,-1.56833333318727,-2.5349999998283783,0.3500000001443231,-2.264999999828624,3.196449300563564,0.0478514996713582,0.0417105797502523,0.04077852197421887,0.023350340220297555,-182.74574551772514,0.34083333347773526,-1.917499999831019,-1.4074572647974395,-1.346666666520732,-2.439999999830543,1.9250000001429635,-1.8816666664977129,3.4494658119125945,0.044725432514481814,4.2352557108513755,1.7899119228618923,6.3885913561985515,4.6443009797697,0.19810863249671967,15.68,15.56,0.0007029024914847182,0.0014954461323506316,5.73414,45.564985474245525,0.09143216828604853,0.07838445820900779,0.08189278359465939,0.13057500932488342,0.13701955454222892
cubic_spline,42/4_GAM_AR1,c,5.3,31.72,0.006971235476062134,78.0876620094945,0.8075000001439093,-1.0627777776067477,-0.2768820760950533,-0.43833333318828865,-1.8383333331622362,0.8016666668105836,-1.5166666664958575,3.547104837607209,0.07666729407640531,-0.0002541013116700308,0.025152179666337583,0.008419569444892685,0.5379729603170389,0.8408333334772835,-1.2036111109427794,-0.5261965810370665,-0.21666666652175082,-1.74333333316451,1.756666666809788,-1.1633333331650375,2.6294444443915355,0.029099090206600505,3.41280857924383,2.5361856206220517,3.690770218042725,3.3327331091790655,0.898863095557083,16.46,16.354,0.12997007277859193,0.31388100807975267,9.3468,188.7612500669874,0.09590731603347853,0.09984886863058019,0.09935982172207734,0.14705686721486083,0.14876808905610403
raw1y,42/1_Run_Means,c,0.92,2.1,0.004224380836058158,63.44790649479945,-0.17744444429963052,-0.8198611109408683,0.0015166795809056467,-4.758333333184332,-6.83333333315919,0.1566666668112022,-2.7566666664962396,3.45107001114705,0.12027365315817304,0.0001408458543860436,0.004796085357665996,0.005672714804888722,35.219488031056656,-0.08049999985520215,-1.1269722220539662,-0.38969261278261214,-4.536666666517794,-6.839999999826541,1.3400000001435273,-1.579999999831334,2.4643977411075917,0.00874299589792893,2.557369227400569,2.1797822330751315,2.614595478261021,2.6964016926949586,0.7759274855633548,39.048,38.246,0.446047657249161,0.7473200124350066,33.46304,178.4633216795716,0.11237182850610426,0.12731603727820584,0.12630411874759237,0.16031932416032024,0.16222082336697977
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,18.36,40.7,0.04191014726528313,92.70670759004287,-0.8124999998545991,-2.766944444272502,-2.0626501737377883,-1.5333333331872792,-3.48499999982846,-1.1099999998543308,-3.136666666495448,3.825034572283634,0.05512951574677766,0.002027984256683935,0.06537119694935252,0.0433667672504591,-16.588941525934928,-0.5908333331880613,-2.9733333331634095,-2.2263888887286494,-1.3116666665207413,-3.3899999998296972,0.13000000014461868,-2.7933333331635732,3.6355341879555465,0.06940087020781614,3.9703811119580608,1.8002852635645221,5.888234936660886,4.059044787564189,0.9207129523926731,14.536,14.456,0.014262179518271814,0.01890137078575485,3.5248399999999998,202.55684952638808,0.07205354953161948,0.07801358515857704,0.0836558025044088,0.12188274363408427,0.12993957053072638
etrend15y,42/1_Run_Means,c,16.9,71.94,0.0073191539750116245,51.01956233036301,0.2141666668111247,-0.27611111094049345,-0.2911830760205822,-1.9133333331869335,-1.909999999829206,0.19666666681114747,-0.29166666649604855,3.073986853772521,0.05123380009022864,-0.00035294866421237955,0.009735800170898368,0.008767487943842196,-40.83615519326975,0.5566666668108884,-0.8494444442764432,-0.6163034186436155,-1.6916666665203957,-1.814999999831116,2.2250000001427086,-1.074999999831789,2.6168376067973207,0.013682710711161313,3.5992486435815247,2.9751071450386104,4.958057765341266,4.339588411413533,0.9262133303165707,17.72,17.5,0.022233115780933274,0.0771289996047322,6.2323,209.324212651545,0.07641703898035089,0.09538736812137291,0.09594394589751512,0.14309045191276853,0.14701368569586354
removeMEI_volc_refit,42/6_Remove_IV,c,2.6,8.18,0.005900779553827368,51.044373568559685,-0.48899999985489345,0.14127777794756313,-0.1830075303357111,-5.393333333183769,-5.03499999982696,0.873333333477208,1.6733333335022416,3.8581957610109714,0.11516602346682098,0.0007727742729414715,-0.0009005802162113845,0.007349113522657908,13.929167870342722,-0.7966388887434293,0.01783333350054237,-0.5854130035029782,-6.149999999849679,-5.056666666494848,-0.3466666665216052,0.7716666668331892,2.8276523198745043,0.003046330324051535,2.2805732531447185,2.3318429652841663,2.497805961682217,2.5407550998617356,0.5707097738825961,38.786,38.19,0.33986424113190794,0.5769511043404763,34.50096,58.21239693602481,0.142282367112669,0.1358820558827295,0.12788327540319555,0.1677396077042141,0.16449451269074913
Kalman_RW_ocn,42/5_Kalman,c,39.72,129.1,0.02526429682639346,45.81889869594157,0.5308333334775049,-2.195833333161595,-1.0154639340523126,-1.3133333331874883,-2.971666666494839,1.1650000001436047,-2.65999999982846,3.794550116255975,0.05108920598434161,0.03771600685193117,0.06513970609536593,0.026712630795224013,-141.2651191009397,0.5725000001442064,-2.3299999998306657,-1.2457051280457547,-1.0916666665209505,-2.876666666496831,2.066666666809515,-2.259999999830725,3.333354700795409,0.06908661663562887,4.462525315922304,1.8234899333580776,5.608117033108364,4.843851798949,0.516891671483703,16.88,16.596,0.0038011244663463885,0.016987075585242126,8.05996,118.88508444125169,0.08840131147095111,0.08845557190142052,0.09312608403950542,0.13551190191406848,0.14301482787602615
FaIR_anthro,43/1_ERF_FaIR,c,69.3,129.74,-0.10601125330534146,44.27102015845813,2.980000000141922,9.291666666828268,6.606642246794554,2.980000000141922,9.291666666828268,2.980000000141922,9.291666666828268,8.512496107026193,0.0934325163240637,-0.16225012036651124,-0.13187099014841755,-0.1045629193365109,52.54806494931498,3.20166666680846,9.386666666825358,6.310705128354707,3.20166666680846,9.386666666825358,3.20166666680846,9.386666666825358,6.310705128354707,-0.1279240796081546,2.9526105243353906,1.8567176204068137,2.742416074923541,1.6383294931744041,-1.0977187130415205,12.76,12.74,0.004729683149866407,0.004934702174892224,2.19822,-175.6349940866433,0.1878629805635418,0.13221385363463978,0.13405270717906684,0.12062025667052838,0.12234096476936378
GWI_tot_AR6,43/3_Human_Induced,c,24.0,72.24,-0.006682639197748008,102.51330382902168,1.0133333334770669,0.01750000016989361,0.40074550465716136,0.5183333334775171,-0.19666666649715808,0.8783333334771897,-0.19666666649715808,3.1424449647158537,0.04634780360127991,0.02368652102160289,0.006675852041699677,-0.005234305228917486,25.90762538933517,1.2350000001436046,-0.10166666649934088,0.20365384631295871,0.7400000001440549,-0.10166666649934088,1.7300000001431544,-0.10166666649934088,2.588269230754689,0.010622762581962588,5.16072234972522,4.5737425004443315,5.077821009109732,5.883441105032605,0.4390870236287931,13.552,13.492,0.03553598896079601,0.045052073103055326,1.61368,61.47218330803104,0.0811549942425611,0.06489193192729771,0.06490202272418467,0.09025020207562504,0.09444029220431521
butterworth,42/2_LT_Fits,c,0.66,0.98,-0.02341065229720816,63.480184668588535,1.4643055556988687,1.0597222223911573,1.1039060015676434,-0.9066666665211822,-0.7466666664967943,2.255000000142595,1.188333333501432,2.9246937313164305,0.14999739574270263,-0.02654898139604152,-0.02056276016493179,-0.02196231832837768,48.308854005760956,1.5584722223655203,0.8200000001664679,0.8706410257995364,-0.6849999998546445,-0.6516666664988588,3.220000000141781,0.6550000001666194,2.7036752136858375,-0.01661584962466891,1.9802504341542315,2.0258112489196596,1.9633340833970785,2.1191803844912913,0.8292596651716522,22.456,22.052,0.5586474752850473,0.9396603568127868,14.01118,116.92561278920294,0.0786702109660534,0.08365957345914592,0.0850793864185309,0.13083368680433954,0.13581129880392895
FaIR_nonat,43/1_ERF_FaIR,c,19.66,118.46,-0.1157246123175805,45.448162231576134,3.658333333474661,9.82916666682785,7.210722021186274,3.658333333474661,9.745000000161035,3.658333333474661,9.745000000161035,8.827562368797636,0.11069273499121379,-0.1570171897180451,-0.13951949189986318,-0.11427627834874997,50.059140372730575,3.880000000141199,9.89555555571376,6.943963675361814,3.880000000141199,9.840000000158252,3.880000000141199,9.978333333491465,6.943963675361814,-0.13557258135960026,2.551581435269357,1.6967192618019846,2.412062780949059,1.554660672121926,-0.07240869023636139,13.18,12.98,0.17481712622978196,0.17481712622978196,2.7517,-11.585390437817821,0.17760483052952333,0.13867065031821987,0.14140014642407192,0.12931876978531504,0.1315711428390274
removeMEI_volc_cons,42/6_Remove_IV,c,21.04,58.24,-0.011501027875806782,5.789304499235705,0.13062698427152894,1.8042539684222154,0.7484719349735763,-5.448333333183714,-4.301666666494311,0.4216666668109474,4.746666666832771,3.8767984088693583,0.06907421156353705,0.003743569341396826,-0.03227519130417861,-0.010052693906976284,-61.61594186519856,0.27329365093813845,1.3498373017533118,0.4135059525405771,-5.226666666517176,-4.324999999828842,1.6650000001431908,3.2133333334976397,2.263249542135826,-0.028328280763915734,3.4022593151736285,2.9279004285742642,2.962815933619719,2.8255208628934576,-0.02703828065481102,45.528,44.786,0.000812177049142067,0.008393906233658679,41.33036,-3.2175553979225104,0.13018950898850104,0.12800970490787142,0.12736980397457887,0.1562936862267471,0.1581448587427212
GWI_anthro_CGWL,43/3_Human_Induced,c,12.14,49.68,-0.00980051715659561,60.4035277533505,0.24000000014444137,-0.8066666664977401,0.1133179322300757,0.24000000014444137,-0.8066666664977401,0.24000000014444137,-0.8066666664977401,4.103707757295707,0.08033886300310543,0.012583357000370476,0.009795664888754182,-0.008352183187765082,138.59451665768142,0.46166666681097923,-0.7116666664987861,-0.18153846137851992,0.46166666681097923,-0.7116666664987861,0.46166666681097923,-0.7116666664987861,1.341282051274784,0.01374257542901709,5.556756847201668,6.497206893076636,4.417612960837966,5.2301253680237005,0.558948141072808,13.1,13.0,0.24935985370019392,0.2719353309212799,2.65996,78.2527397501931,0.11826340167046202,0.09086357443478024,0.08872574942785424,0.0563301275686818,0.04132901292586801
GWI_anthro,43/3_Human_Induced,c,12.32,49.28,-0.011521943686366467,57.79172362611472,0.5066666668108383,-0.906666666497622,0.1802353203974548,0.5066666668108383,-0.906666666497622,0.5066666668108383,-0.906666666497622,4.1550490513978175,0.07674795044712317,0.011316288098138593,0.011520783564119284,-0.010073609717535945,137.2999030189658,0.728333333477376,-0.811666666498686,-0.14743589727601344,0.728333333477376,-0.811666666498686,0.728333333477376,-0.811666666498686,1.333333333326097,0.015467694104382194,5.555463224113324,6.467017898323,4.208503401491139,5.243327640615999,0.5601993652662618,13.1,13.0,0.24595986075763052,0.2712325312462916,2.41432,78.42791113727664,0.11680758993104697,0.09178360726142545,0.08891460957246507,0.05760609594083438,0.04176832725677112
GWI_anthro_SR15,43/3_Human_Induced,c,11.76,46.1,-0.006663011130931493,58.24740454488938,0.3016666668110475,-1.3499999998306067,-0.11270951254733388,0.3016666668110475,-1.3499999998306067,0.3016666668110475,-1.3499999998306067,4.126872691044578,0.07609953407034632,0.01498758082168637,0.018786772064680924,-0.00521467716210096,135.57332962111258,0.5233333334775853,-1.2549999998316161,-0.44487179471181804,0.5233333334775853,-1.2549999998316161,0.5233333334775853,-1.2549999998316161,1.3758974358582958,0.02273368260494383,5.596771379554835,6.114221136018626,4.550443742755857,5.319041514953076,0.5880627038619123,13.1,13.0,0.26772006497766165,0.29633532947356733,2.3309800000000003,82.32877854066774,0.11564597082901708,0.09176400028216869,0.08937895141957397,0.05788096683457212,0.043349783040642374
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,11.54,24.94,0.08976289637184202,41.72941098810646,-0.7949999998546263,-4.579999999827823,-3.4050584830218096,-0.8533333331879066,-4.579999999827823,-0.8533333331879066,-4.579999999827823,5.784468148629332,0.1372373436132203,-0.003602927583731028,0.17809870045080445,0.09121951635701796,41.62162222669064,-0.5733333331880885,-4.48499999982867,-3.5596794870192743,-0.6316666665213688,-4.48499999982867,-0.5149999998548083,-4.48499999982867,3.5778846152370445,0.18212837370926807,1.9594722486321705,1.3470901058937301,1.9461324145750458,1.3717510362855458,0.5697678615712621,13.204,13.124,0.0761899077554532,0.07761773954731971,1.56896,130.47684029981903,0.1055648643024188,0.14150717991551565,0.16437639952596905,0.14469252911983532,0.168472685044627
min_month_proj,42/3_ST_Fits,c,38.74,158.48,0.20109651052887922,-60.91224010141325,-7.397499999848633,-9.71083333315494,-9.241317178024438,-9.568333333179995,-11.301666666487309,-7.663333333181722,-11.301666666487309,10.15938154833828,0.15128814752840453,0.2035569694983392,0.18235398286868143,0.20254484449770976,-82.8722141049283,-7.425833333181868,-10.34222222204561,-9.70185897419274,-9.846666666513002,-12.103333333155115,-7.194999999848742,-11.038333333156087,9.70185897419274,0.18630089340894437,1.30339495478815,1.2967458754789387,1.2554646626483688,1.5079270752296492,-0.5971045146610872,17.88,18.024,0.004696528275362962,0.014575390628538725,12.92502,-131.96009774010025,0.2266766776915422,0.22965960252127576,0.22127391373994515,0.24450984842989956,0.237159091733854
cons_hArrh_CO2forc,43/0_Linear,c,73.94,140.46,0.040708964035400655,-11.238851057144181,-5.631666666516881,2.0116666668333347,0.3568653569924472,-5.631666666516881,2.0116666668333347,-5.631666666516881,2.0116666668333347,13.46034656097202,0.2050066267760517,0.11045154839218402,-0.09323928023755731,0.042157298004231174,-9.372087996307314,-5.409999999850343,2.106666666832043,0.21858974371742146,-5.409999999850343,2.106666666832043,-5.409999999850343,2.106666666832043,1.956025641021315,-0.08929236969729436,1.047122001517137,0.8326397111506938,1.0396484870763592,0.8331992542201719,-10.503840775443585,10.74,10.82,0.0,4.5726135843084826e-36,1.6128399999999998,-2352.860333699363,0.1844055884443201,0.1733320898385547,0.1415691440670897,0.1512928623780751,0.10952424158145875
etrend30y,42/3_ST_Fits,c,16.36,69.64,0.008529707800438949,67.00943030855267,0.17666666681115206,-0.984999999829356,-0.4248139127769119,-0.3533333331883613,-1.6516666664966033,-0.3533333331883613,-1.448333333163455,2.974785804886013,0.040163064237606134,-0.004550892333642204,0.024392710376042178,0.009978041769269513,-83.94421489332582,0.39833333347768984,-1.1291666664983813,-0.6746688032593198,-0.1316666665218236,-1.556666666497995,0.9283333334772033,-0.9549999998318708,3.077211538414847,0.028339620916305118,5.04288788713323,2.1305163949253374,5.94168297887565,5.111611272592047,1.150811815811752,14.672,14.492,0.035230221489066384,0.05932438389132457,3.2557,242.82129313627968,0.061618045409146525,0.07519518665808922,0.07980516806184514,0.1209884835396972,0.12776109415771458
GWI_anthro_AR6,43/3_Human_Induced,c,16.3,69.32,-0.016337517040161054,38.42985031456745,1.2083333334768804,-0.3866666664981131,0.6350763127375032,1.2083333334768804,-0.3866666664981131,1.2083333334768804,-0.3866666664981131,4.214660142117139,0.0699325222506632,0.021733498198030072,0.016334176933231172,-0.01488918307133052,134.97712669418917,1.4300000001434183,-0.29166666649919537,0.3358974360564494,1.4300000001434183,-0.29166666649919537,1.4300000001434183,-0.29166666649919537,1.1907692307748352,0.02028108747349408,5.476632751552683,7.050171752426777,3.6639619530370173,4.848743938099147,0.4618662726375977,13.1,13.0,0.19169707215161286,0.2084987751225372,2.05666,64.66127816926368,0.1226930542554341,0.09243649247478505,0.0912253482189015,0.056749015742289736,0.04537614272201515
