method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50
CGWL_10y_IPCC,44/44_EarthModel_CGWL,c,3.036,0.060757673801902196,0,0,0.9752174414418391,0.9752174414418391,1.6291160528248179,0.04379929496920993,-0.00021063417580645207,252.51298818784676,155.4963744447416,6.5529893176494545,12.740121655488256,0.0036333619487499856
Kal_flexLin,42/5_Kalman,c,4.748,0.05317657451406971,0,0,0.8232322923750476,0.8232322923750476,1.6085597289380145,0.04822032385720656,-0.009697369836948836,249.32675798539225,143.62562031204303,8.050347542102877,7.834567353197057,-0.027068518741414815
Kalman_RW_ocn,42/5_Kalman,c,6.354,0.051526721416585965,0,0,0.8141783272140651,0.8141783272140651,1.5830044170465611,0.049685700256475694,-0.02170805208437452,245.365684642217,135.15347995053645,6.62344813620642,5.041518631075611,-0.055236502143583145
removeGreensfx,42/6_Remove_IV,c,17.066,0.06,0,0,0.9841769195992005,0.9841769195992005,1.5564689157303586,0.049331769969665956,-0.001702598145041549,241.2526819382056,139.78305089200757,5.5036992387807215,4.28199679370254,-0.003773050702942514
Kalman_RW,42/5_Kalman,c,6.227,0.05436017303157478,0,0,0.8058371133052518,0.8058371133052518,1.522831438920734,0.05277016633770035,-0.022640512292571496,236.03887303271378,130.1353060696954,6.775083939759273,3.0254434664621797,-0.05685762799816592
FaIR_anthroA,43/1_ERF_FaIR,c,1.284,0.08947866206822963,0,0,0.9960860419610992,0.9960860419610992,1.4818124990488224,0.02586588109509576,-1.1378738280480262e-05,96.31781243817346,96.31781243817346,3.965433583208796,4.103603745935478,-0.007083998566309221
removeMEI_volc_cons,42/6_Remove_IV,c,18.861,0.06224499635401918,0,0,0.8801146727316287,0.8801146727316287,1.4739945421920237,0.05390442650818782,-0.010128417416837105,63.38176531425702,63.381765314257024,5.703471603751512,4.570236514082067,-0.010204881421019111
lowess1dg20wnc,42/3_ST_Fits,c,3.477,0.050198623335706384,45,0,0.4507326945436241,0.4507326945436241,1.4133223943276312,0.05283999175942155,-0.014970599984701396,219.06497112078284,123.61095821288248,5.2915679507570434,5.247691437106419,-0.03977308902795805
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,1.528,0.08933597656361984,0,0,0.998307784069955,0.998307784069955,1.4041077862483615,0.04101937624760296,0.013370343970690785,217.63670686849605,114.33047042888325,3.287529082550492,2.715290358589121,-0.007920566824133956
lowess1dt30wnc,42/3_ST_Fits,c,4.735,0.06290137900918442,12,0,0.32590047273990036,0.33851919158735233,1.3833841372480593,0.05251071995726857,-0.00907624613043572,214.4245412734492,128.33052827257433,4.622800440096872,3.871781018660196,-0.016133736242577405
15y_etrend,42/3_ST_Fits,c,5.858,0.049001048215502566,34,2,0.028276530317240724,0.20175824431420575,1.3095286734833562,0.05883864102188082,-0.006127524427152476,197.7388296959868,121.21140869355636,4.75477040160673,8.504858390007726,-0.010531066646042407
lfca_hadcrut,42/6_Remove_IV,c,16.796,0.06705123209843411,0,0,0.7077319723551209,0.7704780802223112,1.2656831930509984,0.06830583650889574,-0.046475251042422915,50.62732772203994,50.62732772203994,4.767074217848895,4.63455363922327,-0.046475251042422915
GAM_AR0,42/4_GAM_AR1,c,7.531,0.050236444610198126,33,2,0.09451107436779992,0.17507539609951267,1.2647212370921634,0.06521191977931436,-0.006113797636445032,172.00208824453424,130.23309714951267,7.825612993198205,8.574892127072577,-0.02022749639055791
GWI_tot,43/3_Human_Induced,c,5.118,0.08105949834874945,0,0,0.9834965313928891,0.9834965313928891,1.2269678770032835,0.06834626598755401,0.002211700851032145,79.75291200521343,79.75291200521343,3.698018031249691,4.706965749753348,0.03625676335924627
lowess1dt20wnc,42/3_ST_Fits,c,6.659,0.07971155579802902,21,0,0.3485673299873045,0.3485673299873045,1.212589640279882,0.06073861815846305,-0.006886501854425484,187.95139424338169,108.71915073593874,3.3944037671809317,2.8093947836859945,-0.010270464554760552
30y_etrend,42/3_ST_Fits,c,3.233,0.037625851036391156,67,8,0.00898532716936279,0.06560491894426505,1.2123154469043362,0.05589221446091629,-0.011137324574363502,164.87490077898974,95.43244436356517,5.230711935202027,8.739092714015218,-0.03841729202737845
GAM_AR1,42/4_GAM_AR1,c,7.297,0.047163306233362845,42,7,0.0007203946009522716,0.01795655351786754,1.1610934038095484,0.05809899907161534,-0.012009392365095194,157.90870291809858,129.088363896402,7.009984934817836,7.33077817807446,-0.026396260304807583
lowess1dt20wAR,42/3_ST_Fits,c,6.659,0.06121910890770784,31,10,0.049833383242611363,0.09213942250984926,1.1559301136354345,0.06073861815846305,-0.006886501854425484,179.16916761349233,113.09427517237555,4.010682425873191,3.6711718722785083,-0.010270464554760552
lag5y,42/1_Run_Means,c,6.409,0.04398062618722634,54,11,0.0020162145421988367,0.030914294939285904,1.1515244489827572,0.056287660491621136,-0.018022697098387098,178.48628959232735,91.46230242392525,7.946809538421196,2.489500558501718,-0.04483198025625
