method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
removeGreensfx,42/6_Remove_IV,c,17.063,0.06,0,0,0.98417692,0.98417692,1.556451866,0.049333014,-0.001703458,241.2500392,139.7804081,5.503699239,4.281996794,-0.003776384,1.472222222,1.546296296,1980.625,2009.875,174
removeMEI_cons,42/6_Remove_IV,c,23.629,0.083509797,35,12,2.95E-15,0.003827543,0.181135639,0.081882585,0.005241001,25.90239641,-25.74840127,6.416818001,4.928032883,-0.004905638,3.263888889,3.256944444,1979.791667,2008.708333,152
removeMEI_volc_cons,42/6_Remove_IV,c,18.945,0.060009734,0,0,0.868022825,0.868022825,1.480103127,0.053991066,-0.012607328,65.12453761,65.12453761,5.965730569,4.757004434,-0.012070439,2.4375,1.712962963,1980.541667,2008.708333,53
removeMEI_volc_refit,42/6_Remove_IV,c,52.368,0.10768056,0,0,0.733620525,0.733620525,0.803880489,0.111954922,0.009087701,24.92029516,24.92029516,1.409417302,1.810395101,0.009087701,3.229166667,3.810185185,1985.458333,2006.625,45
cons_hArrh_CO2forc,43/0_Linear,c,1.844,0.09219496,76,66,0,1.23E-89,-53.90276838,0.104260625,0.075242704,-8031.512489,87.71584644,2.086299115,1.499691512,0.060723347,3.583333333,3.222222222,1978.375,2009.125,175
OLS_refit_CO2forc,43/0_Linear,c,2.555,0.023143683,123,84,0,1.23E-89,-53.51244399,0.086419116,-0.018111385,-7973.354154,-218.2364666,12.01298411,6.137133239,-0.026484527,1.541666667,1.555555556,1985.541667,2012.208333,175
FaIR_all,43/1_ERF_FaIR,c,4.966,0.055957352,5,0,0.333408725,0.485136742,1.243485233,0.063709529,0.010083573,105.6962448,105.6962448,3.003252716,4.360818264,0.010017053,3.625,3.076388889,1981.208333,2007.708333,93
FaIR_all_unB,43/1_ERF_FaIR,c,5.274,0.055956333,2,0,0.23876156,0.991450088,1.372040928,0.055537329,-0.001789349,116.6234789,116.6234789,2.995100027,7.128364849,-0.015001003,2.986111111,2.162037037,1981.208333,2010.875,93
FaIR_anthro,43/1_ERF_FaIR,c,1.934,0.024452704,28,0,0.282996433,0.282996433,2.065138917,0.030143441,-0.015511762,175.5368079,175.5368079,14.39114207,7.53255462,-0.015002745,1.166666667,1.083333333,1985.125,2011.875,93
FaIR_anthro_unB,43/1_ERF_FaIR,c,2,0.024382977,18,0,0.242568371,0.242568371,2.092258845,0.029514083,-0.011950498,177.8420018,177.8420018,14.91739601,15.81505031,-0.007250844,0.75,1.166666667,1985.125,2011.041667,93
