method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs,100#q<0.5
quartic,42/2_LT_Fits,r,0.0639834058981304,0.02129189732928809,127,88,2.657113314728838e-07,9.435396886245459e-07,-1.7905458116326611,0.06092002353808151,-0.006266637834923364,-277.53460080306246,-2.0915462228161705,15.084954999946092,8.429486058258965,-0.010313494178039197,0.0,0.0,0.0,0.0,175,85
butterworth,42/2_LT_Fits,c,14.526229690254244,0.07945333896839964,3,0,0.18759658154998965,0.8386088998105444,1.236706577074063,0.05586662554557891,-0.03450512653692194,81.62263408688816,1.236706577074063,2.4286864358170286,4.914096492934549,-0.038889820384998906,2.895833333342125,2.013888888894674,1982.7916666666551,2013.7916666666497,76,3
butterworth,42/2_LT_Fits,r,0.13310206852646048,0.04788043753441546,0,0,0.9932613594578463,0.9932613594578463,2.28996398482263,0.015180123054378002,-0.0025671689829343566,354.94441764750763,2.1962248643989764,13.019083383635396,4.715430785247989,-0.0063439782330259225,0.0,0.0,0.0,0.0,175,0
OLS_hinge75,42/2_LT_Fits,c,3.7753126632552854,0.037011199955925576,2,0,0.33538482313727147,0.7685620520336256,1.9821969218362447,0.043015155258308735,0.007431212698682138,158.57575374689958,1.9821969218362447,2.8109964109345795,11.68784071164219,0.013688358768385627,3.1666666666751553,1.680555555553345,1979.5416666666579,2011.041666666652,90,2
OLS_hinge75,42/2_LT_Fits,r,0.10638969075056938,0.021215725431994157,0,0,0.5810919048734403,0.5810919048734403,2.379142924466604,0.023082923028839433,0.0010824670745585296,190.33143395732833,2.379142924466604,17.44630519473029,10.522898593540825,0.001244836113485366,0.0,0.0,0.0,0.0,90,0
hinge75meet,42/2_LT_Fits,c,3.2506873256970934,0.04737576554933909,1,0,0.1286457791249115,0.7093486547495551,1.892524916777256,0.03721545268815791,0.0049175143999388455,151.40199334218048,1.892524916777256,3.2300180871047446,8.263485199315463,0.008660962170899043,2.500000000009095,1.3611111111092289,1980.208333333324,2010.374999999986,90,1
hinge75meet,42/2_LT_Fits,r,0.05299567212054663,0.02418597086121896,9,7,0.0,3.2728698921176225e-06,-13.70322330056986,0.021697526111939078,0.0031959383885005197,-1096.2578640455888,-13.70322330056986,36.45316751868789,9.325716164301488,0.005217810148022392,0.0,0.0,0.0,0.0,90,9
Bayes_seq_CP,42/2_LT_Fits,c,3.674311107849133,0.08021453908357266,0,0,0.7699411566907111,0.7699411566907111,1.0995863350173365,0.07637842602450651,-0.03115888727577586,127.55201486201103,1.0475069979323928,2.8625894163587446,4.919526220125824,-0.06688979367125,3.6666666666747005,2.6944444444532487,1989.2916666666492,2012.7083333333171,126,0
Bayes_seq_CP,42/2_LT_Fits,r,0.6862723521042523,0.020169257142857146,32,0,0.2379953233548152,0.2878261135951954,2.227811604391137,0.024490404154827613,-0.0007364918351612841,345.31079868062625,2.1912738565733996,17.067556052359837,13.622858317565392,0.010924456328749986,0.0,0.0,0.0,0.0,175,20
OLS_refit,42/2_LT_Fits,c,1.126775878440772,0.1382913842771966,0,0,0.7008024248563897,0.7008024248563897,0.5612074799685018,0.13422070373011688,-0.03125310125966751,36.47848619795262,0.5612074799685018,2.800455986743411,0.8316577666546816,-0.1209342691650733,8.791666666669926,9.569444444446882,1989.7083333333153,2022.5416666666415,75,0
