method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,l05,l10,bias50,Edyrs2,Edyrs6,cross_err0.5,cross_err1.0,#yrs
hinge75meet,42/2_LT_Fits,c,3.251,0.05549107954895954,0,0,0.5663002179625989,0.999870257204311,1.8699649977611124,0.03721545268815791,0.0049175143999388455,149.597199820889,149.597199820889,2.9130385494398237,7.054988703235687,0.008660962170899043,2.500000000009095,1.3611111111092289,1980.208333333324,2010.374999999986,90
CGWL10y_sfUKCP,44/44_EarthModel_CGWL,c,6.258,0.049971170567216415,0,0,0.9770860101035307,0.9770860101035307,1.7405277618522481,0.04113463551575088,0.0014285276431899368,254.1170532304282,153.19377914158025,8.439199195291856,8.03865400663358,0.0038155319950160154,0.6249999999879492,1.1249999999888964,1985.708333333319,2009.6249999999868,155
CGWL10y_sUKCP,44/44_EarthModel_CGWL,c,3.443,0.05220238138591089,0,0,0.9342485293789955,0.9342485293789955,1.7074916879086097,0.04271030707507031,0.00016009614991741635,249.29378643465702,149.90107454300113,6.921414465029134,7.12646227981494,0.0030315096339759,0.45833333334439885,1.48611111110741,1985.624999999986,2009.9583333333198,155
Kal_flexLin_ocn,42/5_Kalman,c,4.614,0.04913984709009308,0,0,0.7059424080805546,0.7059424080805546,1.6931881537095346,0.04423520054822347,-0.004078250713285792,262.44416382497786,145.32388749929902,8.072683832399123,8.657467477076331,-0.03571612089254038,2.0000000000095497,1.2500000000039788,1986.8749999999845,2011.7916666666515,175
CGWL_10y_IPCC,44/44_EarthModel_CGWL,c,3.036,0.06075117156444303,0,0,0.9752174414418391,0.9752174414418391,1.6290633078839472,0.043800120184230504,-0.00021149427258064575,252.5048127220118,155.48819897890664,6.5529893176494545,12.740121655488256,0.003630029073749985,0.8749999999879492,0.8611111111067278,1983.2083333333212,2009.7083333333198,166
Kal_flexLin,42/5_Kalman,c,4.756,0.05317657451406971,0,0,0.8232319935646739,0.8232319935646739,1.6100699251075805,0.048133605025793634,-0.009391397644738427,249.56083839167496,143.6217559386827,8.050347430770044,7.834567359177942,-0.027071854036297055,2.33333333334258,1.2361111111151406,1986.5416666666515,2012.7916666666506,175
Kalman_RW_ocn,42/5_Kalman,c,6.356,0.051526721416585965,0,0,0.8141783272140651,0.8141783272140651,1.582970721364907,0.049687400306609716,-0.021708912181148714,245.36046181156058,135.14825711988007,6.62344813620642,5.041518631075611,-0.055239835018583136,3.458333333341443,2.3819444444535143,1987.374999999984,2014.2083333333157,175
GWI_anthro_AR6,43/3_Human_Induced,c,2.362,0.07486542642386425,0,0,0.9878838510674088,0.9878838510674088,1.5619589847237136,0.03417260120369796,-3.324622324793256e-05,101.52733400704139,101.52733400704138,4.771003752717166,5.003383461093863,-0.016489798323134304,2.33333333334258,1.5138888888851625,1986.291666666652,2013.0416666666501,75
removeGreensfx,42/6_Remove_IV,c,17.063,0.06,0,0,0.9841769195992005,0.9841769195992005,1.5564518655466488,0.0493330141960001,-0.0017034582418157427,241.25003915973056,139.78040811353253,5.5036992387807215,4.28199679370254,-0.0037763835779425145,1.4722222222095904,1.546296296288094,1980.6249999999905,2009.8749999999864,174
Kalman_RW,42/5_Kalman,c,6.226,0.05436017303157478,0,0,0.8058371133052518,0.8058371133052518,1.5227947587560267,0.052772115527948464,-0.02264137238934569,236.03318760718415,130.12962064416575,6.775083939759273,3.0254434664621797,-0.056860960873165924,3.583333333341443,2.6458333333422006,1987.291666666651,2014.5416666666488,175
GWI_tot_CGWL,43/3_Human_Induced,c,3.071,0.08274132755895676,0,0,0.9923218357089191,0.9923218357089191,1.5066410095617562,0.026317726855987055,-1.1130650519295917e-05,97.93166562151416,97.93166562151416,3.838801828238639,5.195803617738691,0.002318978185765806,1.0833333333209794,1.5416666666552599,1986.291666666652,2009.2916666666538,75
removeMEI_volc_cons,42/6_Remove_IV,c,18.945,0.060009734481929394,0,0,0.8680228253282868,0.8680228253282868,1.4801031274778251,0.053991065992954286,-0.012607327950727392,65.1245376090243,65.1245376090243,5.965730569166423,4.757004434494962,-0.012070439114573549,2.437499999997897,1.712962962954451,1980.541666666657,2008.7083333333208,53
FaIR_all_unB,43/1_ERF_FaIR,c,5.274,0.055956333349117135,3,2,0.0023204976146333207,0.9948844352715867,1.4749507329261753,0.055537329015837314,-0.0017893486529935332,125.3708122987249,125.37081229872491,2.468960371118851,6.987844887016804,-0.015001002734273272,2.986111111119726,2.0439814814796287,1981.2916666666565,2010.8749999999854,93
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,1.528,0.09180654878869202,0,0,0.9961336151902791,0.9961336151902791,1.3846714454520945,0.03956731333795625,0.007853894702436803,214.62407404507465,112.2962723344169,3.2003643650887708,2.7429756551776596,-0.013439483303708161,1.166666666654237,0.9999999999921556,1987.041666666651,2009.8749999999864,165
GWI_anthro_SR15,43/3_Human_Induced,c,2.938,0.08945779048403098,0,0,0.9896879059115469,0.9896879059115469,1.3703492976126488,0.043182226833928194,1.2853337746415727e-05,89.07270434482217,89.07270434482217,4.131166984775257,4.716287680004508,0.008359951740085764,1.0833333333437167,2.1527777777721817,1985.374999999986,2011.4583333333185,75
