method_name,method_class,#q<0.5,log-likeli,RMS,bias,cross_year0.5,cross_year1.0,#yrs
CGWL10y_sUKCP,45/44_EarthModel_CGWL,0,1.6876234058265807,0.04271030707507031,0.00016009614991741635,1985.5416666666524,2010.2083333333194,155
OLS_hinge75,43/2_LT_Fits,2,1.9817336825841345,0.043015155258308735,0.007431212698682138,1979.5416666666579,2011.041666666652,90
GWI_anthro_SR15,44/3_Human_Induced,0,1.3628603929395242,0.043182226833928194,1.2853337746415727e-05,1985.5416666666524,2011.291666666652,75
CGWL_10y_IPCC,45/44_EarthModel_CGWL,0,1.6290633078839472,0.043800120184230504,-0.00021149427258064575,1983.2083333333212,2009.7083333333198,166
Kal_flexLin_ocn,43/5_Kalman,0,1.6931881537095346,0.04423520054822347,-0.004078250713285792,1986.8749999999845,2011.7916666666515,175
Kal_flexLin,43/5_Kalman,0,1.6100699251075805,0.048133605025793634,-0.009391397644738427,1986.5416666666515,2012.7916666666506,175
removeGreensfx,43/6_Remove_IV,0,1.5564518655466488,0.0493330141960001,-0.0017034582418157427,1980.6249999999905,2009.8749999999864,174
Kalman_RW_ocn,43/5_Kalman,0,1.582970721364907,0.049687400306609716,-0.021708912181148714,1987.374999999984,2014.2083333333157,175
lowess1dt30wnc,43/3_ST_Fits,110,-0.7938863284460539,0.050526246492164716,-0.010719276337185201,1985.5416666666524,2012.041666666651,172
lowess1dt36wnc,43/3_ST_Fits,119,-0.8258304005897421,0.05103952807038655,-0.01318713347616244,1986.5416666666515,2011.708333333318,172
lowess1dt26wnc,43/3_ST_Fits,112,-1.243900944740008,0.0523842573289698,-0.009242940347904984,1982.7083333333217,2012.624999999984,172
Kalman_RW,43/5_Kalman,0,1.5227947587560267,0.052772115527948464,-0.02264137238934569,1987.291666666651,2014.5416666666488,175
removeMEI_volc_cons,43/6_Remove_IV,0,1.4801031274778251,0.053991065992954286,-0.012607327950727392,1980.541666666657,2008.7083333333208,53
FaIR_all_unB,44/1_ERF_FaIR,2,1.3720409280411583,0.055537329015837314,-0.0017893486529935332,1981.208333333323,2010.8749999999854,93
butterworth,43/2_LT_Fits,0,0.9657177976878857,0.05586662554557891,-0.03450512653692194,1982.7916666666551,2013.7916666666497,76
etrend30y,43/3_ST_Fits,67,1.2122663001723595,0.055893083938189356,-0.011138304831716444,1987.4583333333176,2011.1249999999854,146
lag5y,43/1_Run_Means,54,1.151378445758503,0.056289359122525466,-0.018023557195161292,1982.5416666666551,2014.8749999999818,171
lowess1dt20wAR,43/3_ST_Fits,121,-8.51568198818675,0.05744670508607491,-0.0075137931216644254,1982.2916666666556,2013.7916666666497,172
lowess1dt20wnc,43/3_ST_Fits,113,-3.0335195990176436,0.05744670508607491,-0.0075137931216644254,1982.2083333333221,2013.8749999999827,172
GAM_AR1,43/4_GAM_AR1,42,1.1610707880138709,0.05810005324295443,-0.012010381186033234,1986.374999999985,2012.624999999984,146
