year,aer_p5,aer_p17,aer_p83,aer_p95,aer_p50,ghg_p5,ghg_p17,ghg_p83,ghg_p95,ghg_p50,ohf_p5,ohf_p17,ohf_p83,ohf_p95,ohf_p50,ant_p5,ant_p17,ant_p83,ant_p95,ant_p50,nat_p5,nat_p17,nat_p83,nat_p95,nat_p50,tot_p5,tot_p17,tot_p83,tot_p95,tot_p50
1893,287.2572149209565,287.25804796018997,287.2603495975744,287.26118263680786,287.2591987788822,287.2572149209565,287.25804796018997,287.2603495975744,287.26118263680786,287.2591987788822,287.4313281450828,287.4321611003792,287.43446250585055,287.43529546114695,287.43331180311486,287.2572149209565,287.25804796018997,287.2603495975744,287.26118263680786,287.2591987788822,287.2572149209565,287.25804796018997,287.2603495975744,287.26118263680786,287.2591987788822,287.1941193676443,287.22144677962774,287.29695077813665,287.3242781901201,287.2591987788822
1894,287.28423849505845,287.2850750889568,287.28738654766676,287.2882231415651,287.28623081831176,287.28423849505845,287.2850750889568,287.28738654766676,287.2882231415651,287.28623081831176,287.4437104976405,287.4445468481288,287.4468576343116,287.4476939847999,287.4457022412202,287.28423849505845,287.2850750889568,287.28738654766676,287.2882231415651,287.28623081831176,287.28423849505845,287.2850750889568,287.28738654766676,287.2882231415651,287.28623081831176,287.2208169349122,287.2482847946714,287.3241768419521,287.35164470171134,287.28623081831176
1895,287.3137674030259,287.3145990020996,287.31689666040904,287.31772825948275,287.3157478312543,287.3137674030259,287.3145990020996,287.31689666040904,287.31772825948275,287.3157478312543,287.44216343902133,287.4429946788107,287.44529134443906,287.4461225842284,287.4441430116249,287.3137674030259,287.3145990020996,287.31689666040904,287.31772825948275,287.3157478312543,287.3137674030259,287.3145990020996,287.31689666040904,287.31772825948275,287.3157478312543,287.25053495254593,287.27791840868343,287.3535772538252,287.3809607099627,287.3157478312543
1896,287.3208004196315,287.3216404821838,287.32396152457653,287.32480158712883,287.32280100338016,287.3208004196315,287.3216404821838,287.32396152457653,287.32480158712883,287.32280100338016,287.43338722899443,287.43422699828307,287.43654723040595,287.4373869996946,287.4353871143445,287.3208004196315,287.3216404821838,287.32396152457653,287.32480158712883,287.32280100338016,287.3208004196315,287.3216404821838,287.32396152457653,287.32480158712883,287.32280100338016,287.25723981547355,287.2847695296791,287.3608324770812,287.3883621912868,287.32280100338016
1897,287.3276744757109,287.3285123673655,287.3308274116982,287.33166530335274,287.32966988953183,287.3276744757109,287.3285123673655,287.3308274116982,287.33166530335274,287.32966988953183,287.42254333821995,287.423380974229,287.42569531222847,287.42653294823754,287.42453814322874,287.3276744757109,287.3285123673655,287.3308274116982,287.33166530335274,287.32966988953183,287.3276744757109,287.3285123673655,287.3308274116982,287.33166530335274,287.32966988953183,287.26414321270033,287.29165843540466,287.367681343659,287.3951965663633,287.32966988953183
1898,287.3407953497148,287.3416262324225,287.34392191145594,287.34475279416364,287.34277407193923,287.3407953497148,287.3416262324225,287.34392191145594,287.34475279416364,287.34277407193923,287.4153064722506,287.41613709174396,287.4184320435319,287.4192626630252,287.4172845676379,287.3407953497148,287.3416262324225,287.34392191145594,287.34475279416364,287.34277407193923,287.3407953497148,287.3416262324225,287.34392191145594,287.34475279416364,287.34277407193923,287.2775837146058,287.3049577138217,287.38059043005677,287.4079644292727,287.34277407193923
1899,287.35091176765275,287.35173662304305,287.35401564896017,287.3548405043505,287.3528761360016,287.35091176765275,287.35173662304305,287.35401564896017,287.3548405043505,287.3528761360016,287.41404318681066,287.4148677198502,287.41714585513154,287.41797038817106,287.41600678749086,287.35091176765275,287.35173662304305,287.35401564896017,287.3548405043505,287.3528761360016,287.35091176765275,287.35173662304305,287.35401564896017,287.3548405043505,287.3528761360016,287.28796206624514,287.31522004989944,287.3905322221038,287.4177902057581,287.3528761360016
1900,287.35929682268767,287.3601290520228,287.3624284517067,287.3632606810418,287.36127875186475,287.35929682268767,287.3601290520228,287.3624284517067,287.3632606810418,287.36127875186475,287.40319079136276,287.40402263411426,287.4063209656908,287.4071528084423,287.4051717999025,287.35929682268767,287.3601290520228,287.3624284517067,287.3632606810418,287.36127875186475,287.35929682268767,287.3601290520228,287.3624284517067,287.3632606810418,287.36127875186475,287.29604983696,287.3234400268361,287.39911747689337,287.4265076667695,287.36127875186475
1901,287.35857663823947,287.3594078298784,287.3617043624702,287.3625355541092,287.3605560961743,287.35857663823947,287.3594078298784,287.3617043624702,287.3625355541092,287.3605560961743,287.40051514827917,287.40134591340217,287.403641267556,287.404472032679,287.4024935904791,287.35857663823947,287.3594078298784,287.3617043624702,287.3625355541092,287.3605560961743,287.35857663823947,287.3594078298784,287.3617043624702,287.3625355541092,287.3605560961743,287.2953375868476,287.32272340733084,287.3983887850178,287.42577460550103,287.3605560961743
1902,287.32901388486164,287.3298411923746,287.33212699335957,287.33295430087253,287.3309840928671,287.32901388486164,287.3298411923746,287.33212699335957,287.33295430087253,287.3309840928671,287.4104970949634,287.41132411247116,287.41360911218914,287.4144361296969,287.41246661233015,287.32901388486164,287.3298411923746,287.33212699335957,287.33295430087253,287.3309840928671,287.32901388486164,287.3298411923746,287.33212699335957,287.33295430087253,287.3309840928671,287.2659069038833,287.29323338272286,287.3687348030113,287.39606128185085,287.3309840928671
