variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFa,OHFa,OHFa,OHFa,OHFa,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,0.050337242,0.051172631,0.053480759,0.054316148,0.052326695,0.094023911,0.09485954,0.097168333,0.098003962,0.096013937,0.038855809,0.039691152,0.041999153,0.042834496,0.040845152,-0.050725233,-0.049889858,-0.047581767,-0.046746392,-0.048735812,-0.134886664,-0.13405147,-0.131743879,-0.130908685,-0.132897674,-0.165767577,-0.138470548,-0.063050498,-0.03575347,-0.100760523
1893,0.044526122,0.045359316,0.047661384,0.048494578,0.04651035,0.108617611,0.109451057,0.111753817,0.112587263,0.110602437,0.041024729,0.041857889,0.044159861,0.044993021,0.043008875,-0.059923781,-0.059090566,-0.056788444,-0.05595523,-0.057939505,-0.099488384,-0.098655184,-0.096353101,-0.0955199,-0.097504142,-0.143495244,-0.116167832,-0.040663834,-0.013336422,-0.078415833
1894,0.042725687,0.04356226,0.045873661,0.046710234,0.044717961,0.112209059,0.113045893,0.115358014,0.116194847,0.114201953,0.047219064,0.048055612,0.050366943,0.051203491,0.049211278,-0.067520664,-0.066684037,-0.064372485,-0.063535858,-0.065528261,-0.07100617,-0.070169414,-0.067857507,-0.067020751,-0.06901346,-0.118070369,-0.090602509,-0.014710462,0.012757398,-0.052656485
1895,0.031934076,0.032765539,0.035062823,0.035894287,0.033914181,0.111019075,0.1118508,0.114148805,0.11498053,0.112999802,0.042151329,0.042982766,0.045279974,0.04611141,0.04413137,-0.073263741,-0.072432207,-0.070134727,-0.069303192,-0.071283467,-0.039594425,-0.038762666,-0.036464569,-0.03563281,-0.037613618,-0.093711555,-0.066328099,0.009330746,0.036714203,-0.028498676
1896,0.025796585,0.026636603,0.028957521,0.029797539,0.027797062,0.093639074,0.094479359,0.096801018,0.097641303,0.095640188,0.03521061,0.036050589,0.0383714,0.039211379,0.037210994,-0.066339374,-0.065499291,-0.063178194,-0.062338111,-0.064338742,-0.031580753,-0.030740529,-0.02841904,-0.027578816,-0.029579785,-0.074003594,-0.04647388,0.029589067,0.057118781,-0.008442406
1897,0.024212019,0.025049922,0.027364999,0.028202902,0.026207461,0.084394234,0.085232414,0.087548255,0.088386435,0.086390335,0.029979535,0.03081739,0.033132332,0.033970187,0.031974861,-0.058022906,-0.057184953,-0.054869741,-0.054031789,-0.056027347,-0.022845021,-0.022006968,-0.019691479,-0.018853427,-0.020849224,-0.054205094,-0.026689871,0.049333037,0.07684826,0.011321583
1898,0.022664574,0.023495466,0.025791173,0.026622066,0.02464332,0.078831304,0.07966248,0.081958967,0.082790142,0.080810723,0.026664967,0.027495806,0.029791365,0.030622205,0.028643586,-0.070494391,-0.069663462,-0.067367656,-0.066536727,-0.068515559,-0.007728084,-0.006897044,-0.004600931,-0.003769891,-0.005748988,-0.065742555,-0.038368556,0.03726416,0.06463816,-0.000552198
1899,0.01245536,0.013280167,0.01555906,0.016383868,0.014419614,0.071576635,0.072401735,0.074681435,0.075506535,0.073541585,0.021972175,0.022796927,0.025075666,0.025900418,0.023936297,-0.068255359,-0.067430506,-0.065151488,-0.064326635,-0.066290997,0.004255758,0.005080767,0.007360217,0.008185227,0.006220492,-0.048380392,-0.021122408,0.054189764,0.081447747,0.016533678
1900,0.016462849,0.017294977,0.019594096,0.020426224,0.018444537,0.069271499,0.070103936,0.072403909,0.073236346,0.071253923,0.018988676,0.019820744,0.022119697,0.022951764,0.02097022,-0.051890934,-0.051058716,-0.048759348,-0.04792713,-0.049909032,0.013358186,0.01419057,0.016490398,0.017322783,0.015340484,-0.015561632,0.011828558,0.087506008,0.114896198,0.049667283
1901,0.026254483,0.027085536,0.029381686,0.030212739,0.028233611,0.079800946,0.08063232,0.082929357,0.083760732,0.081780839,0.02336724,0.024198231,0.026494209,0.0273252,0.02534622,-0.044649061,-0.043817874,-0.041521354,-0.040690166,-0.042669614,0.014095984,0.01492733,0.017224289,0.018055635,0.016075809,0.000700963,0.028086783,0.103752161,0.131137981,0.065919472
