variable,OHF,OHF,OHF,OHF,OHF,GHG,GHG,GHG,GHG,GHG,OHFcomb,OHFcomb,OHFcomb,OHFcomb,OHFcomb,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1917,-0.020768149,-0.019952841,-0.017700195,-0.016884887,-0.018826518,0.231121818,0.23193751528134499,0.23419123822765187,0.23500693562999686,0.23306437675449843,0.004216261,0.00503155,0.007284142,0.008099431,0.006157846,-0.044982743,-0.044166965,-0.04191302,-0.041097242,-0.043039993,-0.03044997,-0.029634347,-0.027380832,-0.02656521,-0.02850759,-0.07936623,-0.05237594,0.022196610992637034,0.049186901,-0.015089665
1918,-0.012706438,-0.011884075,-0.009611938,-0.008789576,-0.010748007,0.22471413430679377,0.22553691807917176,0.2278102202404284,0.2286330040128064,0.22667356915980008,0.003629104,0.004451458,0.006723574,0.007545928,0.005587516,-0.03866411,-0.037841226,-0.035567646,-0.034744762,-0.036704436,-0.007282261,-0.006459537,-0.004186402,-0.003363678,-0.005322969,-0.069675016,-0.042430679,0.032843786,0.060088122,-0.004793447
1919,-0.006598929,-0.005774525,-0.003496745,-0.002672341,-0.004635635,0.22915850083722944,0.22998334248285346,0.23226233042436206,0.23308717206998608,0.23112283645360776,0.007409518,0.00823391,0.010511656244204914,0.011336048,0.009372783,-0.022902499,-0.022077541,-0.01979823,-0.018973272,-0.020937885,0.00535519,0.00617995,0.008458713,0.009283474,0.007319332,-0.049797154,-0.022448296,0.053114954,0.080463812,0.015333329012833019
1920,-0.018374442,-0.017552911,-0.015283069,-0.014461537,-0.01641799,0.2249551369574192,0.2257771180041459,0.22804820228265044,0.22887018332937714,0.22691266014339817,-0.000893279,-7.18E-05,0.002198018,0.003019529,0.001063125,-0.01002377,-0.009201674,-0.006930274,-0.006108178,-0.008065974,0.005032537,0.005854347,0.00812496,0.00894677,0.006989654,-0.041555704,-0.014251326,0.061189029,0.088493406,0.023468851086931863
1921,-0.025656851,-0.024856776,-0.022646219,-0.021846145,-0.023751498,0.2153407733021595,0.21614126997599215,0.21835299422218668,0.21915349089601932,0.2172471320990894,-0.005341268,-0.00454123,-0.002330773,-0.001530735,-0.003436002,0.007730946,0.008531548,0.010743564750157475,0.011544167204590394,0.009637556,-0.002638534,-0.001838253,0.000372873,0.001173153,-0.00073269,-0.022760964,0.004114831,0.078371039,0.10524683373381549,0.041242935101024614
1922,-0.023001853,-0.022217421,-0.020050082,-0.01926565,-0.021133752,0.22404123279108035,0.2248260667405475,0.22699451581968333,0.22777934976915049,0.22591029128011542,-0.004039445,-0.003255062,-0.00108786,-0.000303477,-0.002171461,0.012466242,0.013251163453901427,0.015419853103480818,0.016204774123366406,0.014335508278691123,-0.001436759,-0.000652139,0.001515719,0.002300339,0.00043179,-0.01744751,0.009048422,0.082255092,0.10875102403440451,0.045651757
1923,-0.019584458,-0.018809961,-0.016670072,-0.015895575,-0.017740017,0.23935396068276305,0.24012885365561942,0.24226983641324296,0.24304472938609933,0.2411993450344312,0.000700562,0.001475006,0.003614748,0.004389192,0.002544877,0.015905132,0.016680104,0.018821306744200683,0.019596279,0.017750706,-0.004889707,-0.004115015,-0.001974586,-0.001199894,-0.003044801,-0.009963978,0.016273912723875128,0.08876763,0.11500552043332846,0.052520771
1924,-0.019206174,-0.018426997,-0.016274178,-0.015495002,-0.017350588,0.2486689761708476,0.2494485523724279,0.25160247460974006,0.25238205081132037,0.250525513,-0.006090221,-0.005311099,-0.003158434,-0.002379313,-0.004234767,0.019983984,0.020763645,0.022917799785830084,0.023697460232426693,0.021840722,-0.002553326,-0.001773958,0.000379388,0.001158755,-0.000697285,-0.005173262,0.021089638733656102,0.093652457,0.11991535767083406,0.057371048
1925,-0.012153808,-0.011371166,-0.009208775,-0.008426133,-0.01028997,0.25194298546580285,0.25272602834468216,0.25488952880346005,0.25567257168233937,0.2538077785740711,-0.009871015,-0.009088423,-0.00692617,-0.006143578,-0.008007296,0.029280025038133317,0.030063168,0.032226946,0.03301009,0.031145057,0.025748133748663804,0.026530976029334852,0.028693922,0.029476764527828436,0.027612449,0.006102905,0.032402064,0.10506506370586521,0.13136422343825416,0.068733564
1926,-0.016715893,-0.015937971,-0.013788621,-0.013010699,-0.014863296,0.24341635452356059,0.2441946715434824,0.24634511473755083,0.24712343175747264,0.24526989314051661,-0.014167618,-0.013389733,-0.011240483,-0.010462598,-0.012315108,0.054232779,0.055011207,0.057161957,0.057940384496021125,0.056086582,0.04728108,0.048059205,0.050209116561006795,0.050987241,0.049134161,0.042326277749282326,0.068495405,0.14079913138454003,0.1669682583817007,0.10464726806549152
