variable,Aer,Aer,Aer,Aer,Aer,GHG,GHG,GHG,GHG,GHG,OHF,OHF,OHF,OHF,OHF,Ant,Ant,Ant,Ant,Ant,Nat,Nat,Nat,Nat,Nat,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,0.463141901,0.463978822,0.466291184,0.467128105,0.465135003,0.463141901,0.463978822,0.466291184,0.467128105,0.465135003,0.470166894,0.47100354,0.473315143,0.474151789,0.472159341,0.463141901,0.463978822,0.466291184,0.467128105,0.465135003,0.463141901,0.463978822,0.466291184,0.467128105,0.465135003,0.400705424,0.427759966,0.50251004,0.529564581,0.465135003
1882,0.455903636,0.456740831,0.459053952,0.459891147,0.457897391,0.455903636,0.456740831,0.459053952,0.459891147,0.457897391,0.455057104,0.455894024,0.458206384,0.459043304,0.457050204,0.455903636,0.456740831,0.459053952,0.459891147,0.457897391,0.455903636,0.456740831,0.459053952,0.459891147,0.457897391,0.393415081,0.420491765,0.495303018,0.522379702,0.457897391
1883,0.391796055,0.392621998,0.39490403,0.395729973,0.393763014,0.391796055,0.392621998,0.39490403,0.395729973,0.393763014,0.453192737,0.454018799,0.456301161,0.457127223,0.45515998,0.391796055,0.392621998,0.39490403,0.395729973,0.393763014,0.391796055,0.392621998,0.39490403,0.395729973,0.393763014,0.329846929,0.35668585,0.430840178,0.457679099,0.393763014
1884,0.190790347,0.191608083,0.193867438,0.194685174,0.192737761,0.190790347,0.191608083,0.193867438,0.194685174,0.192737761,0.457283713,0.458102537,0.460364897,0.46118372,0.459233717,0.190790347,0.191608083,0.193867438,0.194685174,0.192737761,0.190790347,0.191608083,0.193867438,0.194685174,0.192737761,0.129296298,0.155935921,0.2295396,0.256179223,0.192737761
1885,0.158121561,0.158938159,0.161194369,0.162010967,0.160066264,0.158121561,0.158938159,0.161194369,0.162010967,0.160066264,0.44853997,0.449357578,0.451616582,0.45243419,0.45048708,0.158121561,0.158938159,0.161194369,0.162010967,0.160066264,0.158121561,0.158938159,0.161194369,0.162010967,0.160066264,0.096712498,0.123315297,0.196817232,0.22342003,0.160066264
1886,0.184058714,0.184872935,0.187122579,0.1879368,0.185997757,0.184058714,0.184872935,0.187122579,0.1879368,0.185997757,0.454590906,0.455405854,0.457657506,0.458472453,0.45653168,0.184058714,0.184872935,0.187122579,0.1879368,0.185997757,0.184058714,0.184872935,0.187122579,0.1879368,0.185997757,0.122913447,0.149403098,0.222592416,0.249082067,0.185997757
1887,0.181967401,0.182781589,0.185031142,0.18584533,0.183906366,0.181967401,0.182781589,0.185031142,0.18584533,0.183906366,0.458024974,0.458839719,0.46109081,0.461905555,0.459965265,0.181967401,0.182781589,0.185031142,0.18584533,0.183906366,0.181967401,0.182781589,0.185031142,0.18584533,0.183906366,0.120683959,0.147231599,0.220581132,0.247128772,0.183906366
1888,0.186874847,0.187689144,0.189938997,0.190753294,0.18881407,0.186874847,0.187689144,0.189938997,0.190753294,0.18881407,0.443291192,0.444105812,0.446356558,0.447171179,0.445231185,0.186874847,0.187689144,0.189938997,0.190753294,0.18881407,0.186874847,0.187689144,0.189938997,0.190753294,0.18881407,0.125516563,0.152095738,0.225532403,0.252111578,0.18881407
1889,0.188848269,0.189664793,0.191920799,0.192737323,0.190792796,0.188848269,0.189664793,0.191920799,0.192737323,0.190792796,0.422086066,0.422902819,0.425159458,0.42597621,0.424031138,0.188848269,0.189664793,0.191920799,0.192737323,0.190792796,0.188848269,0.189664793,0.191920799,0.192737323,0.190792796,0.127222005,0.153915934,0.227669658,0.254363587,0.190792796
1890,0.186647434,0.187469173,0.189739588,0.190561327,0.18860438,0.186647434,0.187469173,0.189739588,0.190561327,0.18860438,0.412162387,0.412984383,0.41525551,0.416077506,0.414119947,0.186647434,0.187469173,0.189739588,0.190561327,0.18860438,0.186647434,0.187469173,0.189739588,0.190561327,0.18860438,0.124641965,0.151500341,0.22570842,0.252566795,0.18860438
1891,0.193282745,0.194109168,0.196392527,0.197218951,0.195250848,0.193282745,0.194109168,0.196392527,0.197218951,0.195250848,0.406332824,0.407159445,0.40944335,0.410269971,0.408301397,0.193282745,0.194109168,0.196392527,0.197218951,0.195250848,0.193282745,0.194109168,0.196392527,0.197218951,0.195250848,0.130813929,0.157871553,0.232630143,0.259687767,0.195250848
1892,0.215495212,0.216330244,0.218637386,0.219472418,0.217483815,0.215495212,0.216330244,0.218637386,0.219472418,0.217483815,0.415213487,0.416048613,0.418356015,0.41919114,0.417202314,0.215495212,0.216330244,0.218637386,0.219472418,0.217483815,0.215495212,0.216330244,0.218637386,0.219472418,0.217483815,0.152476762,0.17977379,0.25519384,0.282490868,0.217483815
1893,0.249022458,0.249855497,0.252157134,0.252990174,0.251006316,0.249022458,0.249855497,0.252157134,0.252990174,0.251006316,0.423135682,0.423968637,0.426270043,0.427102998,0.42511934,0.249022458,0.249855497,0.252157134,0.252990174,0.251006316,0.249022458,0.249855497,0.252157134,0.252990174,0.251006316,0.185926904,0.213254316,0.288758315,0.316085727,0.251006316
