Time,Mean,Ensemble_uncertainty_(1sigma),Coverage_uncertainty_(1sigma),Total_uncert_(1sigma)
1913.5,-0.438954109,0.040083068,0.010505491,0.041436912
1914.5,-0.417914301,0.040743855,0.011066862,0.042220104
1915.5,-0.394658858,0.041051453,0.011382448,0.042600257
1916.5,-0.364795393,0.041157993,0.011568462,0.042752891
1917.5,-0.351142899,0.041462505,0.01162613,0.043061656
1918.5,-0.336209977,0.040984765,0.011680842,0.042616816
1919.5,-0.34114649,0.040795559,0.011725679,0.042447252
1920.5,-0.350193469,0.040853426,0.01169041,0.042493153
1921.5,-0.320446655,0.040559891,0.011447866,0.042144494
1922.5,-0.289076045,0.039445136,0.011015922,0.040954478
1923.5,-0.267286216,0.038688302,0.010482811,0.040083339
1924.5,-0.274001612,0.038524379,0.010036792,0.039810363
1925.5,-0.261846647,0.037737662,0.009844082,0.039000475
1926.5,-0.24814198,0.03719664,0.009738408,0.038450314
1927.5,-0.228786781,0.037266976,0.009709946,0.038511175
1928.5,-0.229253035,0.036973637,0.009708157,0.038226929
1929.5,-0.21550655,0.036662266,0.009696754,0.037922932
1930.5,-0.207898275,0.036087753,0.009638005,0.037352604
1931.5,-0.212594869,0.035552069,0.009528686,0.036806867
1932.5,-0.191603403,0.035734073,0.009497069,0.036974563
1933.5,-0.172176896,0.035289446,0.0093824,0.0365154
1934.5,-0.137012313,0.034899795,0.009411857,0.036146629
1935.5,-0.111738189,0.033741408,0.009623861,0.035087054
1936.5,-0.097585492,0.032701532,0.009956316,0.034183599
1937.5,-0.082898714,0.034050364,0.010492785,0.035630406
1938.5,-0.050022114,0.037518677,0.011020709,0.039103799
1939.5,-0.018177915,0.042278658,0.011699162,0.043867475
1940.5,0.006736844,0.04801772,0.012504147,0.049619101
1941.5,0.011807477,0.047974788,0.012890372,0.049676373
1942.5,0.00460681,0.04868622,0.013047364,0.050404184
1943.5,-0.006639243,0.049447578,0.013257569,0.051194004
1944.5,-0.016939746,0.049966653,0.013216301,0.051684979
1945.5,-0.047195508,0.050000506,0.012967771,0.051654755
1946.5,-0.057123834,0.043695333,0.012655703,0.045491196
1947.5,-0.055728986,0.038982388,0.01229752,0.0408761
1948.5,-0.048608069,0.035439137,0.011895006,0.037382129
1949.5,-0.074693606,0.033629048,0.011183877,0.035439977
1950.5,-0.098733435,0.033601214,0.010235289,0.035125528
1951.5,-0.113168536,0.030987417,0.009513914,0.032415036
1952.5,-0.107581467,0.028518321,0.008906888,0.029876869
1953.5,-0.096878596,0.026316732,0.008203957,0.027565836
1954.5,-0.087298854,0.025560179,0.007666016,0.026685025
1955.5,-0.076182632,0.024612878,0.00717806,0.025638219
1956.5,-0.072067213,0.023764815,0.006628276,0.024671856
1957.5,-0.08000694,0.022255066,0.005954077,0.023037773
1958.5,-0.091451076,0.020995679,0.00517491,0.02162402
1959.5,-0.110362206,0.019185407,0.004411058,0.019685966
1960.5,-0.11107326,0.017752144,0.003470384,0.018088178
1961.5,-0.099646458,0.016525072,0.003203956,0.016832805
1962.5,-0.107866896,0.015692079,0.003172974,0.016009657
1963.5,-0.122968396,0.014247284,0.003081957,0.014576816
1964.5,-0.121306539,0.013281852,0.002915383,0.013598053
1965.5,-0.118266989,0.012267252,0.002813713,0.012585804
1966.5,-0.136855917,0.011314741,0.002803466,0.011656877
1967.5,-0.139830776,0.010497791,0.002677608,0.010833891
1968.5,-0.131154698,0.009526386,0.002551315,0.009862111
1969.5,-0.117821202,0.008825497,0.002606852,0.00920245
1970.5,-0.108454576,0.008077176,0.00263105,0.008494892
1971.5,-0.115148506,0.007526919,0.002725178,0.008005067
1972.5,-0.093085726,0.007372925,0.002767506,0.007875222
1973.5,-0.075695373,0.007398822,0.002797795,0.007910134
1974.5,-0.063470935,0.007652819,0.00276667,0.008137573
1975.5,-0.035357323,0.007993292,0.002672953,0.008428369
1976.5,0.010232786,0.008158599,0.002588948,0.00855952
1977.5,0.023038745,0.008442274,0.00255075,0.008819202
1978.5,0.040424713,0.008390661,0.00249822,0.008754672
1979.5,0.062476722,0.008486156,0.002374161,0.008812008
1980.5,0.078525118,0.008400544,0.002239502,0.008693935
1981.5,0.109677506,0.00818775,0.001958198,0.008418657
1982.5,0.123671296,0.008068166,0.001709629,0.008247311
1983.5,0.151360868,0.008188189,0.001503841,0.008325141
1984.5,0.160200084,0.008507565,0.001512324,0.008640937
1985.5,0.176651118,0.008676951,0.001536368,0.008811918
1986.5,0.185539568,0.008650459,0.001461682,0.008773081
1987.5,0.194602423,0.008889607,0.001445757,0.009006404
1988.5,0.188792158,0.008954479,0.001492752,0.009078051
1989.5,0.207347785,0.008955554,0.001509798,0.009081929
1990.5,0.240061424,0.008883715,0.001553793,0.009018573
1991.5,0.258161664,0.009160095,0.001613772,0.009301161
1992.5,0.276089874,0.009339972,0.001646487,0.009483987
1993.5,0.305608874,0.009500834,0.001668748,0.009646272
1994.5,0.320132341,0.00952991,0.001665995,0.009674437
1995.5,0.317182579,0.009619928,0.001675027,0.009764667
1996.5,0.332220959,0.009482975,0.001748801,0.00964288
1997.5,0.374077926,0.009525476,0.001703031,0.009676519
1998.5,0.411924221,0.009397787,0.001634418,0.009538853
1999.5,0.435306314,0.009521272,0.001627732,0.009659406
2000.5,0.458305951,0.009533592,0.00159946,0.009666832
2001.5,0.487892283,0.00946843,0.001555562,0.00959536
2002.5,0.504831563,0.009512744,0.001533809,0.009635604
2003.5,0.493662377,0.009599691,0.00152675,0.009720341
2004.5,0.52089204,0.009770311,0.001489542,0.009883203
2005.5,0.555820704,0.01005104,0.001464521,0.010157176
2006.5,0.560662443,0.010271535,0.001379763,0.010363792
2007.5,0.564076497,0.010387324,0.001375834,0.010478045
2008.5,0.572017013,0.010494268,0.001389484,0.010585855
2009.5,0.592567106,0.010431729,0.001343961,0.010517946
2010.5,0.614392296,0.010746606,0.001331073,0.010828726
2011.5,0.650429736,0.010734358,0.001318249,0.010815
2012.5,0.675777031,0.010811156,0.001319531,0.010891384
2013.5,0.705477454,0.010744037,0.001296367,0.010821964
2014.5,0.734906554,0.010885919,0.001293011,0.010962441
2015.5,0.759161464,0.010779909,0.001304769,0.010858584
2016.5,0.781582246,0.010925141,0.001316739,0.011004204
2017.5,0.803952072,0.011057677,0.001294708,0.011133216
2018.5,0.851625812,0.011072698,0.001292307,0.011147856
2019.5,0.902418657,0.011387458,0.001288464,0.01146012
2020.5,0.938935487,0.011591155,0.006943591,0.013511785
