yyyymm,temperature_volw_mean,salinity_volw_mean,temperature_uncert,salinity_uncert,temperature_obs_wt,salinity_obs_wt
191010,275.226,34.7154,0.180787,0.0230104,0.00987449,0.00959976
191011,275.226,34.7153,0.180644,0.0230405,0.0105782,0.00809465
191012,275.228,34.7154,0.180541,0.0230582,0.0111931,0.0107414
191101,275.23,34.7155,0.180466,0.0230544,0.00989711,0.0101894
191102,275.231,34.7156,0.180394,0.0230637,0.0143636,0.012907
191103,275.229,34.716,0.18037,0.0230719,0.0123073,0.0116808
191104,275.227,34.7164,0.180352,0.0230775,0.0103652,0.00991752
191105,275.224,34.7163,0.180526,0.0230228,0.0251129,0.0214515
191106,275.225,34.7166,0.180754,0.023062,0.0463774,0.0387087
191107,275.225,34.716,0.18059,0.0230273,0.0559635,0.0604728
191108,275.225,34.7155,0.180457,0.0230223,0.0543959,0.0536322
191109,275.225,34.7149,0.180419,0.0230255,0.0306289,0.030591
191110,275.225,34.7148,0.180529,0.02304,0.0241114,0.0217385
191111,275.225,34.7147,0.180452,0.0230405,0.0182155,0.0162187
191112,275.227,34.7148,0.180412,0.0230546,0.010276,0.0100625
191201,275.23,34.7151,0.180362,0.0230767,0.019369,0.023048
191202,275.23,34.7153,0.180298,0.0230437,0.0135413,0.013664
191203,275.229,34.7156,0.180335,0.0230631,0.00948946,0.00958438
191204,275.227,34.7162,0.180445,0.023072,0.0149037,0.0104227
191205,275.225,34.7164,0.180388,0.0230367,0.017514,0.0184388
191206,275.225,34.7165,0.180374,0.023048,0.019649,0.014246
191207,275.224,34.7164,0.180437,0.0230468,0.0292306,0.0255828
191208,275.225,34.7161,0.180365,0.0230238,0.0294644,0.0296647
191209,275.226,34.7157,0.180382,0.0230485,0.01747,0.0172404
191210,275.226,34.7155,0.180374,0.0230515,0.00908235,0.0080388
191211,275.227,34.7154,0.180338,0.0230418,0.0187743,0.0195429
191212,275.229,34.7154,0.180414,0.0230613,0.0173492,0.0161095
191301,275.232,34.7155,0.180848,0.0230353,0.0164468,0.0136252
191302,275.232,34.7157,0.181351,0.0230234,0.0246777,0.023295
191303,275.231,34.716,0.181008,0.0230168,0.0176809,0.0196338
191304,275.228,34.7164,0.180788,0.0230326,0.0273577,0.0269414
191305,275.226,34.7166,0.180803,0.0230258,0.0298508,0.0299213
191306,275.226,34.7167,0.180689,0.0230457,0.032546,0.0316481
191307,275.226,34.7165,0.180656,0.0230544,0.0525619,0.0510131
191308,275.227,34.7163,0.180944,0.0230552,0.0366269,0.0324042
191309,275.228,34.7159,0.181042,0.0230586,0.0224983,0.00908583
191310,275.23,34.7156,0.180925,0.0230617,0.0157862,0.00595114
191311,275.23,34.7155,0.180673,0.023037,0.0238777,0.0213762
191312,275.231,34.7155,0.180554,0.0230577,0.0185066,0.0153327
191401,275.235,34.7157,0.18079,0.0230871,0.0152759,0.0116995
191402,275.236,34.7158,0.181145,0.0231138,0.0238891,0.0266742
191403,275.233,34.716,0.180812,0.0231085,0.0184018,0.0207457
191404,275.231,34.7164,0.180661,0.0231064,0.0225496,0.0238838
191405,275.228,34.7167,0.18074,0.0231037,0.0224929,0.0220229
191406,275.226,34.7166,0.180936,0.0230786,0.027814,0.0269257
191407,275.227,34.7166,0.18149,0.0231096,0.0357023,0.0323328
191408,275.228,34.7163,0.181129,0.023105,0.01947,0.0190397
191409,275.228,34.7159,0.18087,0.0231001,0.00922411,0.00731152
191410,275.228,34.7156,0.180688,0.0230963,0.00689747,0.00520398
191411,275.229,34.7155,0.180564,0.0230934,0.00372236,0.00233976
191412,275.23,34.7155,0.18048,0.0230915,0.0052256,0.00234313
191501,275.232,34.7156,0.180423,0.0230901,0.00535499,0.0037246
191502,275.232,34.7157,0.180386,0.0230892,0.00510924,0.00409616
191503,275.231,34.7161,0.180362,0.0230885,0.0093872,0.00872473
191504,275.229,34.7165,0.180602,0.0231051,0.0177659,0.0170251
191505,275.227,34.7167,0.180753,0.0231166,0.0259525,0.0255373
191506,275.226,34.7167,0.180612,0.0231069,0.0143738,0.0129812
191507,275.226,34.7165,0.18051,0.0230759,0.0179981,0.015467
191508,275.226,34.7162,0.180471,0.0230679,0.0322807,0.0299002
