yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
200404,3.7889,0.1076,95
200405,3.78929,0.106439,95
200406,3.79015,0.105559,94
200407,3.78019,0.105586,94
200408,3.77978,0.105248,94
200409,3.77815,0.105545,94
200410,3.78412,0.104595,94
200411,3.78467,0.103994,94
200412,3.78177,0.104166,94
200501,3.79621,0.103703,94
200502,3.794,0.103718,94
200503,3.79395,0.103189,94
200504,3.79483,0.103328,94
200505,3.79577,0.101844,93
200506,3.79765,0.101755,93
200507,3.78705,0.101717,93
200508,3.78706,0.101299,93
200509,3.78908,0.101648,93
200510,3.79181,0.10131,93
200511,3.78977,0.101052,93
200512,3.7902,0.101527,93
200601,3.79483,0.100615,93
200602,3.79488,0.100866,92
200603,3.7936,0.100117,92
200604,3.79563,0.100239,93
200605,3.79546,0.100138,92
200606,3.79587,0.100297,92
200607,3.78862,0.0996887,92
200608,3.78879,0.100146,92
200609,3.78618,0.0998926,92
200610,3.78804,0.0991787,92
200611,3.78902,0.0987193,92
200612,3.78982,0.0987752,92
200701,3.79267,0.0984738,92
200702,3.79349,0.0984571,92
200703,3.79356,0.0975715,92
200704,3.79377,0.0975542,92
200705,3.79404,0.0970956,92
200706,3.79381,0.0973251,92
200707,3.78722,0.0969626,92
200708,3.78614,0.0974802,92
200709,3.78604,0.0976587,92
200710,3.78923,0.0969018,91
200711,3.78985,0.0967295,91
200712,3.7898,0.0967723,91
200801,3.79272,0.0970163,91
200802,3.79421,0.0960685,91
200803,3.79639,0.0958111,91
200804,3.79768,0.0957861,91
200805,3.79706,0.0955919,91
200806,3.79605,0.0957001,91
200807,3.78984,0.0957079,91
200808,3.78823,0.0955311,91
200809,3.7871,0.0958084,91
200810,3.79065,0.0952805,91
200811,3.79053,0.0949435,91
200812,3.78954,0.0954051,91
200901,3.79255,0.0949971,91
200902,3.79334,0.094517,90
200903,3.79542,0.0945765,90
200904,3.79857,0.0940665,90
200905,3.79786,0.0941595,90
200906,3.7949,0.0942184,90
200907,3.78721,0.0943339,90
200908,3.78804,0.0947356,91
