yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
200410,0.511538,0.110798,99
200411,0.507858,0.110868,99
200412,0.504639,0.111405,99
200501,0.513417,0.110665,99
200502,0.512023,0.10902,99
200503,0.510484,0.108349,99
200504,0.506597,0.109496,99
200505,0.506894,0.109525,99
200506,0.509445,0.110043,99
200507,0.51381,0.110279,99
200508,0.512692,0.109863,99
200509,0.513794,0.109972,99
200510,0.512601,0.110769,99
200511,0.511655,0.110659,99
200512,0.509008,0.110361,99
200601,0.511383,0.10902,99
200602,0.515329,0.108164,99
200603,0.516228,0.108667,99
200604,0.511559,0.109363,99
200605,0.51071,0.109234,99
200606,0.511753,0.110046,99
200607,0.516029,0.109924,99
200608,0.518589,0.109502,99
200609,0.519323,0.109434,99
200610,0.517828,0.109692,99
200611,0.516859,0.10956,99
200612,0.516471,0.10925,99
200701,0.518487,0.10909,99
200702,0.514623,0.108437,99
200703,0.510823,0.108167,99
200704,0.506273,0.108667,99
200705,0.507763,0.108855,99
200706,0.509536,0.109679,99
200707,0.513337,0.108932,99
200708,0.515272,0.108218,99
200709,0.514865,0.108201,99
200710,0.509651,0.108311,99
200711,0.509035,0.108253,99
200712,0.509938,0.108308,99
200801,0.510473,0.107616,98
200802,0.510153,0.106292,98
200803,0.507221,0.105666,98
200804,0.502315,0.105543,98
200805,0.503234,0.105819,98
200806,0.502925,0.106763,98
200807,0.510825,0.107527,99
200808,0.513755,0.107174,98
200809,0.514185,0.107237,99
200810,0.511919,0.108128,99
200811,0.508845,0.108237,99
200812,0.507458,0.108371,99
200901,0.508908,0.107729,98
200902,0.510807,0.106406,98
200903,0.51138,0.106702,98
200904,0.506939,0.107221,98
200905,0.507467,0.107253,99
200906,0.50803,0.10789,99
200907,0.511531,0.107546,99
200908,0.514031,0.107532,99
200909,0.515853,0.107649,99
200910,0.513392,0.108242,99
200911,0.511477,0.108562,99
200912,0.511718,0.108468,99
201001,0.51554,0.108024,99
201002,0.517184,0.10654,98
201003,0.515216,0.106493,98
201004,0.510664,0.106599,98
201005,0.510264,0.106532,98
201006,0.511214,0.107003,98
201007,0.513828,0.107114,99
201008,0.513766,0.106711,99
201009,0.515012,0.107127,99
201010,0.516301,0.108108,99
201011,0.515603,0.108025,99
201012,0.515066,0.10763,98
201101,0.518573,0.107088,98
201102,0.517664,0.106759,98
201103,0.514773,0.106728,98
201104,0.508903,0.106577,98
201105,0.508278,0.106587,98
201106,0.507779,0.107339,99
201107,0.511907,0.107783,99
201108,0.513764,0.107117,98
201109,0.514645,0.107122,99
201110,0.511345,0.107551,99
201111,0.510502,0.10795,99
201112,0.511634,0.107754,99
201201,0.51283,0.107738,99
201202,0.512739,0.107071,98
201203,0.511317,0.106736,98
201204,0.507463,0.106341,98
201205,0.5076,0.105797,98
201206,0.507374,0.106244,98
201207,0.510789,0.106455,98
201208,0.510718,0.106255,98
201209,0.512491,0.106562,98
201210,0.511734,0.106952,98
201211,0.50973,0.106799,98
201212,0.509929,0.106489,98
201301,0.514669,0.106049,98
201302,0.517863,0.106136,98
201303,0.517397,0.105743,98
201304,0.511956,0.105971,98
201305,0.508973,0.106098,98
201306,0.508104,0.106604,98
201307,0.509535,0.106562,98
201308,0.510618,0.106337,98
201309,0.511785,0.106562,98
201310,0.512325,0.107146,98
201311,0.509913,0.107075,98
201312,0.50641,0.106874,98
201401,0.509241,0.106517,98
201402,0.511473,0.105786,98
201403,0.512346,0.105543,98
201404,0.508877,0.10619,98
201405,0.509018,0.106303,98
201406,0.50883,0.106167,98
201407,0.512059,0.106157,98
201408,0.515259,0.106333,98
201409,0.514899,0.106432,98
201410,0.512293,0.106671,98
201411,0.512492,0.106588,98
201412,0.513538,0.106346,98
201501,0.513778,0.105629,98
201502,0.513543,0.105128,98
201503,0.513998,0.105105,98
201504,0.510417,0.105081,98
201505,0.508822,0.104789,98
201506,0.507101,0.105401,98
201507,0.512424,0.105752,98
201508,0.513207,0.105245,98
201509,0.510506,0.105155,98
201510,0.50846,0.106315,98
201511,0.508928,0.106421,98
201512,0.508929,0.106183,98
201601,0.511738,0.105873,98
201602,0.51294,0.105349,98
201603,0.511935,0.105429,98
201604,0.509376,0.105422,98
201605,0.509842,0.105306,98
201606,0.507609,0.105653,98
201607,0.510507,0.105646,98
201608,0.511752,0.105534,98
201609,0.512711,0.105536,98
201610,0.513356,0.105856,98
201611,0.514101,0.106106,98
201612,0.513364,0.10613,98
201701,0.515386,0.105453,98
201702,0.52021,0.104871,98
201703,0.522395,0.104951,98
201704,0.517762,0.104818,98
201705,0.514449,0.104892,98
201706,0.513794,0.105366,98
201707,0.515857,0.105435,98
201708,0.514594,0.105224,98
201709,0.514795,0.104982,98
201710,0.514265,0.105222,98
201711,0.511693,0.105506,98
201712,0.511172,0.105651,98
201801,0.511403,0.104925,98
201802,0.514308,0.103911,98
201803,0.515804,0.103902,97
201804,0.510195,0.103767,97
201805,0.508717,0.103828,97
201806,0.505779,0.104444,98
201807,0.508274,0.105012,98
201808,0.51071,0.104959,98
201809,0.507474,0.104959,98
201810,0.504904,0.105157,98
201811,0.505487,0.105206,98
201812,0.509943,0.10502,98
201901,0.515423,0.103823,98
201902,0.520153,0.102512,97
201903,0.520149,0.10283,97
201904,0.514222,0.103029,97
201905,0.509759,0.103306,97
201906,0.507716,0.104066,98
201907,0.511832,0.104065,98
201908,0.512455,0.104069,98
201909,0.512001,0.104257,98
201910,0.510605,0.104459,98
201911,0.510338,0.1043,98
201912,0.512508,0.104233,98
202001,0.517422,0.104094,98
202002,0.521323,0.102812,97
202003,0.518178,0.102984,97
202004,0.510591,0.103504,97
202005,0.508624,0.104015,98
202006,0.506822,0.104691,98
202007,0.512199,0.104595,98
202008,0.514319,0.104807,98
202009,0.513474,0.105029,98
202010,0.511519,0.105307,98
202011,0.510215,0.105545,98
202012,0.511437,0.105384,98
202101,0.511745,0.104898,98
202102,0.520606,0.103905,98
202103,0.520703,0.103643,98
202104,0.513035,0.104032,98
202105,0.511325,0.104746,98
202106,0.495707,0.105524,98
202107,0.513674,0.105424,98
202108,0.504348,0.10519,98
202109,0.509985,0.105314,98
202110,0.500641,0.105396,98
202111,0.491383,0.105309,98
202112,0.515075,0.105031,98
202201,0.509232,0.104331,98
202202,0.514396,0.10366,98
202203,0.510683,0.103708,98
202204,0.501541,0.103797,98
202205,0.501416,0.10422,98
202206,0.491608,0.10433,98
202207,0.514536,0.104597,98
202208,0.510135,0.104685,98
202209,0.516974,0.104848,98
202210,0.507805,0.105064,98
202211,0.499979,0.105071,98
202212,0.523298,0.105029,98
202301,0.516421,0.104374,97
202302,0.521626,0.103448,97
202303,0.517199,0.103824,97
202304,0.510118,0.10439,97
202305,0.511493,0.104572,98
202306,0.494903,0.104655,98
202307,0.515347,0.104737,98
202308,0.512002,0.104905,98
202309,0.518443,0.104835,98
202310,0.51094,0.105337,98
202311,0.499825,0.105896,98
202312,0.518384,0.106197,98
202401,0.512151,0.104731,97
202402,0.518793,0.103633,97
202403,0.514917,0.103567,97
202404,0.510653,0.104176,97
202405,0.519371,0.105371,98
202406,0.508712,0.106757,98
