yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
199905,2.38632,0.0499476,99
199906,2.38618,0.0500232,99
199907,2.38374,0.0496989,99
199908,2.38332,0.049806,99
199909,2.38325,0.0498737,99
199910,2.38489,0.0496216,99
199911,2.38495,0.0498916,99
199912,2.3847,0.0501824,99
200001,2.38369,0.0500221,99
200002,2.3834,0.0501546,99
200003,2.38349,0.050194,99
200004,2.38532,0.050114,99
200005,2.38565,0.0499131,99
200006,2.38563,0.0499447,99
200007,2.38224,0.0500449,99
200008,2.38218,0.0501184,99
200009,2.38258,0.0499204,99
200010,2.38456,0.049657,99
200011,2.38436,0.0495788,99
200012,2.38431,0.0495762,99
200101,2.38379,0.0495558,99
200102,2.38416,0.0495414,99
200103,2.38394,0.0496294,99
200104,2.38542,0.0496755,99
200105,2.38527,0.0495262,99
200106,2.38476,0.0494763,99
200107,2.3818,0.0494392,99
200108,2.38231,0.0495225,99
200109,2.38233,0.0494981,99
200110,2.38432,0.0492877,99
200111,2.38401,0.0490637,99
200112,2.38363,0.049135,99
200201,2.38297,0.0491568,99
200202,2.3833,0.0489251,98
200203,2.384,0.0485748,98
200204,2.38596,0.0486433,98
200205,2.3857,0.048594,98
200206,2.38567,0.0484177,98
200207,2.3825,0.0483671,98
200208,2.38198,0.0486227,99
200209,2.38196,0.0486772,98
200210,2.38411,0.0484729,98
200211,2.384,0.0483326,98
200212,2.38388,0.0483867,98
200301,2.38396,0.0482029,98
200302,2.38392,0.047934,98
200303,2.38407,0.0477893,98
200304,2.38618,0.0476273,98
200305,2.38577,0.0475887,98
200306,2.38566,0.0474551,98
200307,2.38236,0.0472567,97
200308,2.38241,0.0473117,97
200309,2.38196,0.0473449,97
200310,2.3842,0.0470591,97
200311,2.38409,0.0468452,97
200312,2.38435,0.0470047,97
200401,2.38412,0.0469909,97
200402,2.38375,0.0468244,97
200403,2.38423,0.0467168,97
200404,2.3864,0.0464317,97
200405,2.38691,0.0461405,97
200406,2.38686,0.0460684,97
200407,2.38344,0.0459342,97
200408,2.38302,0.0458556,97
200409,2.38291,0.0458238,97
200410,2.38509,0.0457137,97
200411,2.38515,0.0455034,96
200412,2.38438,0.0454013,96
200501,2.38935,0.0450397,96
200502,2.38837,0.045348,96
200503,2.38749,0.0451145,96
200504,2.38775,0.044951,96
200505,2.38829,0.0444598,96
200506,2.38893,0.0444713,96
200507,2.3864,0.0445424,96
200508,2.38631,0.0445106,96
200509,2.38721,0.0444402,96
200510,2.38893,0.0443929,96
200511,2.38823,0.0443741,95
200512,2.38839,0.0443522,95
200601,2.38842,0.0440943,95
200602,2.38863,0.0443505,95
200603,2.38795,0.0438729,95
200604,2.38936,0.0439023,95
200605,2.38925,0.0438427,95
200606,2.38975,0.0438834,95
200607,2.38793,0.0437611,95
200608,2.38809,0.0438951,95
200609,2.38728,0.0437326,95
200610,2.38795,0.0434468,95
200611,2.38763,0.0432974,95
200612,2.38819,0.043274,95
200701,2.38877,0.0431888,95
200702,2.38916,0.043293,95
200703,2.38842,0.0428881,94
200704,2.38915,0.0428668,94
200705,2.38944,0.042813,94
200706,2.38944,0.0428673,95
200707,2.38731,0.0427595,94
200708,2.3869,0.0428548,94
200709,2.38664,0.042922,95
200710,2.38869,0.0426473,94
200711,2.3895,0.0425434,94
200712,2.38919,0.0425222,94
200801,2.38849,0.0424968,94
200802,2.38876,0.0422728,94
200803,2.38911,0.0421489,94
200804,2.39068,0.0421481,94
200805,2.39031,0.0422011,94
200806,2.38989,0.0422175,94
200807,2.38789,0.0421828,94
200808,2.3873,0.0421604,94
200809,2.38694,0.0421761,94
200810,2.38879,0.042043,94
200811,2.38848,0.0418882,94
200812,2.38814,0.0419165,94
200901,2.38813,0.0418305,94
200902,2.38834,0.0416557,94
200903,2.3885,0.0415596,93
200904,2.38997,0.0413225,93
200905,2.38967,0.0413151,93
200906,2.38914,0.0414624,93
200907,2.38697,0.041472,94
200908,2.38746,0.0416084,94
200909,2.38698,0.041641,94
200910,2.38881,0.0417726,94
200911,2.38921,0.0416838,94
200912,2.38915,0.0418273,94
201001,2.3892,0.0415751,93
201002,2.38864,0.0412933,93
201003,2.3886,0.0413385,93
201004,2.38934,0.0412216,93
201005,2.38867,0.0412978,93
201006,2.38948,0.041361,94
201007,2.38813,0.0413346,93
201008,2.3881,0.0413552,94
201009,2.38836,0.0414863,94
201010,2.39026,0.0414016,94
201011,2.38994,0.0413389,94
201012,2.38923,0.0412405,93
201101,2.38856,0.0411354,93
201102,2.389,0.0410609,93
201103,2.38988,0.0410635,93
201104,2.39162,0.0411165,93
201105,2.39161,0.0410086,93
201106,2.39042,0.0410605,93
201107,2.38772,0.0410688,93
201108,2.38874,0.0411372,93
201109,2.389,0.0409757,93
201110,2.38982,0.0407432,93
201111,2.38958,0.0406504,93
201112,2.3899,0.0405917,93
201201,2.3898,0.0406036,93
201202,2.39045,0.0403956,93
201203,2.39007,0.0402554,93
201204,2.39105,0.0402345,93
201205,2.39124,0.0402514,93
201206,2.39104,0.0403363,93
201207,2.38854,0.0401364,93
201208,2.38836,0.0402432,93
201209,2.38896,0.0401938,93
201210,2.39088,0.0401549,93
201211,2.39107,0.0400335,93
201212,2.39126,0.0399356,93
201301,2.39243,0.0400357,93
201302,2.39233,0.0400469,93
201303,2.39236,0.0399942,93
201304,2.39288,0.0399946,92
201305,2.39237,0.0400338,92
201306,2.39215,0.0400866,93
201307,2.3896,0.0401513,93
201308,2.38967,0.0399757,93
201309,2.38963,0.0400449,93
201310,2.39159,0.0401127,93
201311,2.39204,0.0401537,93
201312,2.39262,0.040043,93
201401,2.3923,0.0400051,92
201402,2.39198,0.0400382,93
201403,2.39188,0.0399643,92
201404,2.39272,0.0399007,92
201405,2.3928,0.0398281,92
201406,2.39345,0.0398283,92
201407,2.39145,0.0397957,92
201408,2.39108,0.0398008,92
201409,2.39128,0.0398016,92
201410,2.39227,0.0398136,92
201411,2.39204,0.0396169,92
201412,2.39283,0.0394678,92
201501,2.39304,0.0394366,92
201502,2.39307,0.0393245,92
201503,2.39253,0.0393581,92
201504,2.39377,0.0393526,92
201505,2.39488,0.0392382,92
201506,2.39442,0.0393096,92
201507,2.3923,0.0393181,92
201508,2.39243,0.0393918,92
201509,2.39154,0.0394489,92
201510,2.39309,0.0392878,92
201511,2.39307,0.039247,92
201512,2.39367,0.0392422,92
201601,2.39326,0.0391059,92
201602,2.39313,0.0390412,92
201603,2.39379,0.0391253,92
201604,2.39404,0.0392371,92
201605,2.39391,0.0391775,92
201606,2.39315,0.0391191,92
