yyyymm,temperature_volw_mean,temperature_uncert,temperature_uncer_percentVariance
198703,0.78143,0.177698,99
198704,0.774897,0.177807,99
198705,0.781439,0.178195,99
198706,0.783731,0.178001,99
198707,0.775243,0.176984,99
198708,0.777574,0.176252,99
198709,0.78412,0.177249,99
198710,0.788132,0.177414,99
198711,0.787288,0.17775,99
198712,0.784452,0.178654,99
198801,0.787093,0.1776,98
198802,0.78497,0.175855,98
198803,0.784358,0.176867,98
198804,0.777536,0.179241,99
198805,0.779038,0.178523,99
198806,0.780552,0.178447,99
198807,0.776115,0.177092,99
198808,0.780496,0.176639,99
198809,0.784169,0.177864,99
198810,0.788429,0.178114,99
198811,0.78283,0.178652,99
198812,0.780012,0.18062,99
198901,0.782446,0.180196,99
198902,0.783294,0.178815,99
198903,0.781187,0.179332,99
198904,0.779394,0.178921,99
198905,0.781703,0.177299,99
198906,0.788955,0.177196,99
198907,0.782172,0.17724,99
198908,0.785267,0.176752,99
198909,0.788595,0.176088,98
198910,0.79715,0.177083,99
198911,0.79369,0.178396,99
198912,0.785721,0.178746,99
199001,0.789352,0.178579,99
199002,0.79097,0.177373,99
199003,0.787622,0.178678,99
199004,0.781964,0.179635,99
199005,0.786209,0.178462,99
199006,0.791996,0.177477,99
199007,0.784346,0.176155,99
199008,0.790785,0.176,99
199009,0.795898,0.17691,99
199010,0.800378,0.179091,99
199011,0.794957,0.180233,99
199012,0.790197,0.180714,100
199101,0.791359,0.181162,100
199102,0.791634,0.180239,99
199103,0.7921,0.180234,99
199104,0.786992,0.180534,99
199105,0.786491,0.180045,99
199106,0.78933,0.180265,100
199107,0.784344,0.179168,99
199108,0.788669,0.178329,99
199109,0.792442,0.178779,99
199110,0.795107,0.180039,99
199111,0.790127,0.179933,99
199112,0.788476,0.181324,100
199201,0.790603,0.181599,100
199202,0.791174,0.179524,99
199203,0.788069,0.178717,99
199204,0.781511,0.180618,99
199205,0.78332,0.180678,99
199206,0.786758,0.180932,99
199207,0.786275,0.180159,99
199208,0.790092,0.179119,99
199209,0.791189,0.179953,99
199210,0.795207,0.180083,99
199211,0.791107,0.179137,99
199212,0.791679,0.179841,99
199301,0.795426,0.179863,99
199302,0.791501,0.179049,99
199303,0.786804,0.178958,99
199304,0.780047,0.179093,99
199305,0.781233,0.179326,99
199306,0.781903,0.179403,99
199307,0.778659,0.178772,99
199308,0.78316,0.178028,99
199309,0.788232,0.178998,99
199310,0.791418,0.180099,99
199311,0.787176,0.180179,99
199312,0.78555,0.180922,99
199401,0.787778,0.179794,99
199402,0.793722,0.177916,99
199403,0.790821,0.178182,99
199404,0.776632,0.17987,99
199405,0.777561,0.179972,99
199406,0.779833,0.179874,99
199407,0.774557,0.178921,99
199408,0.778415,0.178385,99
199409,0.782803,0.179358,99
199410,0.78821,0.179472,99
199411,0.785355,0.179372,99
199412,0.78279,0.179886,99
199501,0.802643,0.17927,99
199502,0.80128,0.178349,99
199503,0.799124,0.178799,99
199504,0.784247,0.179112,99
199505,0.784846,0.179456,99
199506,0.786129,0.180099,99
199507,0.793377,0.178882,99
199508,0.806384,0.178625,99
199509,0.810562,0.179442,99
199510,0.808876,0.180617,99
199511,0.804556,0.180387,99
199512,0.804288,0.18104,99
199601,0.79942,0.179557,99
199602,0.797636,0.178045,99
199603,0.798314,0.178604,99
199604,0.794924,0.179586,99
199605,0.795816,0.177935,99
199606,0.792245,0.178312,99
199607,0.795934,0.178539,99
199608,0.802059,0.177953,99
199609,0.806936,0.178499,99
199610,0.812012,0.179481,99
199611,0.807762,0.179462,99
199612,0.808625,0.180667,99
199701,0.804319,0.181241,100
199702,0.799737,0.17994,99
199703,0.797465,0.179646,99
199704,0.788909,0.179591,99
199705,0.787962,0.178635,99
199706,0.790668,0.179211,99
199707,0.797697,0.178725,99
199708,0.799245,0.177485,99
199709,0.80449,0.177731,99
199710,0.809363,0.179666,99
199711,0.808651,0.180609,99
199712,0.812468,0.180914,99
199801,0.809164,0.179997,99
199802,0.8041,0.179016,99
199803,0.800591,0.178699,99
199804,0.795836,0.178878,99
199805,0.799359,0.179158,99
199806,0.800372,0.179793,99
199807,0.803519,0.179094,99
199808,0.806972,0.178427,99
199809,0.810245,0.178885,99
199810,0.815891,0.179794,99
199811,0.813913,0.180308,99
199812,0.814681,0.180015,99
199901,0.810401,0.180159,99
199902,0.807425,0.179499,99
199903,0.804709,0.179504,99
199904,0.798532,0.179553,99
199905,0.799779,0.178981,99
199906,0.801779,0.179877,99
199907,0.808088,0.178981,99
199908,0.810633,0.178192,99
199909,0.815438,0.178965,99
199910,0.817123,0.179859,99
199911,0.813995,0.179508,99
199912,0.812761,0.180529,99
200001,0.809357,0.180565,99
200002,0.807975,0.179743,99
200003,0.805552,0.180466,99
200004,0.797953,0.181194,100
200005,0.797572,0.179555,99
200006,0.799366,0.180025,99
200007,0.801795,0.180092,99
200008,0.805445,0.179793,99
200009,0.808456,0.180432,99
200010,0.814862,0.180918,99
200011,0.813393,0.180563,99
200012,0.816302,0.180059,99
200101,0.816477,0.17983,99
200102,0.815616,0.179678,99
200103,0.810858,0.180188,99
200104,0.80071,0.180439,99
200105,0.802355,0.17802,99
200106,0.802724,0.17884,99
200107,0.808907,0.178876,99
200108,0.812362,0.178571,99
200109,0.817154,0.179564,99
200110,0.821653,0.179595,99
200111,0.815602,0.179008,99
200112,0.812982,0.179306,99
200201,0.812063,0.179519,99
200202,0.809995,0.178831,99
200203,0.806222,0.179134,99
200204,0.801341,0.179329,99
200205,0.803293,0.178207,99
200206,0.806892,0.178493,99
200207,0.813183,0.178585,99
200208,0.81394,0.177543,98
200209,0.816838,0.177935,98
200210,0.822574,0.178908,99
200211,0.816982,0.17908,99
200212,0.814197,0.179134,99
200301,0.814509,0.178128,98
200302,0.81568,0.177132,98
200303,0.81502,0.176691,98
200304,0.809794,0.17701,98
200305,0.813243,0.17709,98
200306,0.813101,0.177833,98
200307,0.822189,0.177521,99
200308,0.827454,0.177678,98
200309,0.824142,0.178169,98
200310,0.826924,0.178275,98
200311,0.826972,0.178788,99
200312,0.821987,0.179206,99
200401,0.814328,0.178888,99
200402,0.814318,0.17724,98
200403,0.815188,0.175636,98
200404,0.810011,0.17593,98
200405,0.815125,0.175269,98
200406,0.819244,0.176186,98
200407,0.823092,0.176418,98
200408,0.825048,0.176676,98
200409,0.829623,0.176855,98
200410,0.832472,0.177144,98
200411,0.82593,0.177275,99
200412,0.820247,0.178285,99
