method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,nceEdyrs
etrend15y,42/3_ST_Fits,c,5.551,0.05873621313470033,22,2,0.0006275101277041784,0.1278574888415823,1.2862412009570345,0.05940247852008739,-0.005915436553378867,291.97675261724686,123.84660773672563,0.055597429357389594,0.00020472632514151695,2.7286657445372944,5.3643234264880855,-0.00049693226814167,2.7916666668177186,0.6250000001678018,0.9897342994878713,29.0,111.96944721789652,0.06882716590055098,-0.03565134225518751,1.4130681777620129,5.276493937330532,-0.027584469391374176,4.12500000014893,1.125000000167347,1.4130434783287984,29.0
removeGreensfx,42/6_Remove_IV,c,14.476,0.06000000000000001,50,5,0.004249124444261331,0.0971703717004658,1.0132032997620612,0.07965636172529961,-0.004407492985856191,234.04996224503614,110.72324581026277,0.06915446519768334,-0.021371685134039985,6.619898639073063,0.25574218728581094,-0.03933582305908203,1.5833333331781887,1.041666666833862,1.6968599034759322,34.2,90.25820219130833,0.08012205405688219,-0.057227753714369015,5.296269191597538,2.1112284626544486,-0.06642336018231454,1.2083333333321207,1.5416666668334074,2.26268115958216,34.2
lowess1dg20wnc,42/3_ST_Fits,c,3.147,0.09821497138229109,0,0,0.995627426688405,0.995627426688405,1.4326332289192436,0.04183158134790077,-0.014607764838477073,330.93827588034526,88.72266675415511,0.037020118259585726,-0.017858962880240546,3.30685924438922,2.5505658046020914,-0.01466999351978302,2.208333333485143,0.6250000001678018,0.9981884058917845,23.0,73.63058083223139,0.06741512695829978,-0.05371503146056957,2.919597825433312,2.5417813143230377,-0.04175753064301553,3.5416666668163543,1.125000000167347,1.5271739131983395,23.0
lowess1dt30wnc,42/3_ST_Fits,c,4.38,0.1342647768887541,0,0,0.9914542907915863,0.9984185203670358,1.1457339461991498,0.04963989391918146,-0.006799413992174663,264.6645415720036,58.13986605189112,0.04607985170766688,-0.002794589598973592,2.2830334802951393,1.7709996530403609,-0.0014865934848785401,2.6250000001512035,0.37499999983128873,1.0960144927474906,23.0,54.493381729064204,0.062857206049356,-0.03865065817930262,2.1192852387817007,1.8025289091139682,-0.028574130608111047,3.9583333334824147,0.12500000016825652,1.414855072546654,23.0
lowess1dt20wAR,42/3_ST_Fits,c,6.323,0.12078420621555434,45,15,1.9264450996870143e-05,0.0034794652732332695,0.710001672392101,0.06631669049210526,-0.004620324874204055,164.01038632257533,57.27080672265956,0.06464401689129141,0.0017255292998419867,2.034961633110388,1.936985954026571,0.0002950727939605713,2.7083333334846884,0.45833333316477365,1.1739130434096336,27.0,55.646088806064206,0.07375559454663433,-0.03413053928048704,1.7113819353491284,1.9771704539096624,-0.026792464329271938,4.0416666668159,0.041666666834771604,1.340579710210665,27.0
lag5y,42/1_Run_Means,c,5.301,0.049091422352907206,91,24,4.214146401853183e-06,0.0005969012845816802,0.8638269295539555,0.06956052131997227,-0.0315235365334358,199.5440207269637,54.68336697622005,0.08098644185855307,-0.05645446379979451,1.0181002614971888,3.6392090335359017,-0.06852553188800811,3.0416666668177186,1.7916666668334074,2.246376811767257,24.0,-52.22189764631783,0.10812796658116684,-0.09231053238012356,0.3388553676607924,11.243389078639726,-0.09561306901124063,4.37500000014893,2.2916666668329526,3.068840579892782,24.0
raw1y,42/1_Run_Means,c,29.299,0.12891525432203255,0,0,0.6728019611707843,0.7752980604164318,0.6756097719104662,0.12065202061975987,-0.003946425771699549,156.0658573113177,50.018552854312276,0.13677832716271676,0.0008159101009368897,3.2293843529002477,3.2506103169465206,-0.0038531363010406495,3.3333333333303017,3.1666666666637866,2.950241545878535,63.2,47.660092861058985,0.1396110714787362,-0.03504015847939214,0.9306518054631162,2.0041661943837377,-0.030940673424273157,3.3333333333303017,3.1666666666637866,2.9696859903630135,63.2
lowess1dt20wARMA,42/3_ST_Fits,c,6.457,0.14562900341562357,24,10,0.0007297147685418168,0.026203562894254934,0.7525672465606164,0.06716410828093906,-0.0026907517027144356,162.55452525709313,48.63903715944902,0.06464401689129141,0.0017255292998419867,1.8974968471195637,1.695881063743403,0.0002950727939605713,2.7083333334846884,0.45833333316477365,1.1757246376125452,27.0,47.43395112740507,0.07375559454663433,-0.03413053928048704,1.6665560264800616,1.7300258777282678,-0.026792464329271938,4.0416666668159,0.041666666834771604,1.3423913044135767,27.0
CGWL10y_pUKCP,44/44_EarthModel_CGWL,c,1.623,0.1395331019868,0,0,1.0,1.0,1.0267740759470914,0.0450480672106201,-0.01051724353327428,237.1848115437781,48.57775266723207,0.0523736765698918,-0.02017543911933899,1.915580172368781,1.4226202976863884,-0.02282835841178894,2.7916666668177186,2.875000000165528,1.4909420290798212,23.0,44.37869927230146,0.07209111910012016,-0.05603150769966802,1.8473277459970396,1.3632836622550752,-0.049915895535021446,4.12500000014893,3.3750000001650733,2.2590579711393475,23.0
butterworth,42/2_LT_Fits,c,12.826,0.18905872599055354,1,0,0.11793758322712738,0.9984821449587503,0.763637480955729,0.07584087934877108,-0.03961675953148026,108.43652229571352,41.99414400312415,0.08399663218870629,-0.044468661406551604,2.026290954925245,1.6914739939360066,-0.048362187476100466,2.7916666668177186,2.4166666668327252,2.1304347827198025,36.0,33.976412464105145,0.10749875781099019,-0.08032472998688063,1.594200829480484,1.753629100601238,-0.07544972459933297,4.12500000014893,2.9166666668322705,2.789855072616626,36.0
