method_name,method_class,c/r,smooth_r,avg_unc.(1se),#q<0.5,#q<0.1,q_min,q_small5,log-likeli,RMS,bias,tlog-l,100log-l,100RMS,100bias,l15,l20,bias50,Edyrs15,Edyrs20,EdyrsA,ncEdyrs,e100log-l,e100RMS,e100bias,el15,el20,ebias50,eEdyrs15,eEdyrs20,eEdyrsA,nceEdyrs
OLS_refit,42/2_LT_Fits,r,9.616556971569031e-14,0.03851729476776927,186,180,1.0798886779859938e-54,1.3653528307494861e-53,-44.33030806472145,0.3464842228390582,0.03351732926005384,-8422.758532297075,-3692.9865041056664,0.31902219591560604,0.07703789253239653,3.143064079630086e-20,0.09905505735506738,-0.23099079701392872,0.0,0.0,0.0,0.0,-3211.6903340469767,0.29987392397391266,0.07331346340616736,1.3735913208084664e-17,0.15238059391092834,-0.20999201278324886,0.0,0.0,0.0,0.0
TheilSen_h7075,42/2_LT_Fits,c,1.9685069705539135,0.04044178247268925,106,66,2.0192311801590584e-36,7.524133524549163e-35,-13.111553250249345,0.1874382804243889,-0.10471563617292147,-2045.4023070388978,-2157.9220283446193,0.24126316964805172,-0.1944266948853067,0.1719364997970226,4.704106422408295e-08,-0.3361272408543822,2.8750000001512035,5.9583333334962845,8.423611111286013,22.0,-2014.2802296443037,0.23382968184400826,-0.19815112401153587,0.013275433460778788,7.343402536813143e-13,-0.31512845662370237,4.0416666668159,6.625000000162345,8.14492753641378,22.0
TheilSen_h7075,42/2_LT_Fits,r,1.0941913302147177,0.029302229052585324,110,87,1.0893352094304583e-27,1.137428361489533e-25,-12.480609561431127,0.18991328531397922,-0.12262660654020416,-1946.9750915832558,-794.8135677155057,0.14551893622074663,-0.09957377316357605,5.979123949143376,13.298379671095137,-0.1820202632530327,0.0,0.0,0.0,0.0,-778.1056320876824,0.13959924587369751,-0.10329820228980521,17.128394465684092,8.375570377820397,-0.16102147902235284,0.0,0.0,0.0,0.0
Bayes_seq_CP,42/2_LT_Fits,c,2.0519358334920197,0.03053302475247524,174,107,2.2655279365728706e-08,1.4220883673969703e-07,-1.844472428307194,0.08542414197609884,-0.062470208495983816,-354.13870623498127,-137.69295784267797,0.08712683419739223,-0.0760577730814616,1.202266795638554,0.0004020220760756553,-0.08443335658073427,2.4583333334846884,4.458333333497649,2.4444444446349016,24.0,-187.01907884391863,0.09254113192939606,-0.07978220220769075,0.07734456442958232,2.614157882774388e-06,-0.06343457235005442,3.6250000001493845,5.125000000163709,2.4800724639554357,23.0
Bayes_seq_CP,42/2_LT_Fits,r,0.1959684304159872,0.01906787250996016,148,58,2.7051676743726667e-07,1.2887321955053253e-05,0.9519151881166843,0.03489587874302418,0.0013182175874180777,219.89240845495408,213.72598673468087,0.02360517870274976,0.0004557824740940069,5.350108918707251,3.144386631500375,0.01305914341926583,0.0,0.0,0.0,0.0,83.2717670496676,0.03817301489842758,-0.003268646652135152,0.2535488230514224,18.023759333461495,0.034057927649945675,0.0,0.0,0.0,0.0
hinge75meet,42/2_LT_Fits,c,1.6499029701914347,0.06062354822604459,58,48,1.0197980785004287e-06,6.414307827534922e-06,-1.1564588168779604,0.13839586664632875,-0.0634980912390888,-180.40757543296183,-270.07318067183473,0.17453327185480827,-0.12538661479647267,6.392286115434115,0.2848569669425321,-0.25114152621635444,0.9583333334860527,4.875000000163709,5.8246527779395665,23.0,-219.5597749152829,0.1645335613160274,-0.12911104392270184,4.279026080475746,0.09378615822904067,-0.2301427419856746,2.1250000001507487,5.541666666829769,5.327898550904899,23.0
hinge75meet,42/2_LT_Fits,r,0.029443793713195377,0.032248774804740296,118,95,0.0,4.2158079063610494e-134,-220.12352623526698,0.1411070645729145,0.06336962912755009,-34339.27009270165,-1499.4006587839458,0.1784662150907092,0.10129234378326236,7.822592782857983e-14,0.0010555800996331658,-0.03550838436760766,0.0,0.0,0.0,0.0,-1138.9382057162125,0.1628937084948204,0.09756791465703318,4.00136204161066e-11,0.0032072537423883125,-0.014509600136927814,0.0,0.0,0.0,0.0
OLS_AR5split,42/2_LT_Fits,r,0.5095130421098061,0.04319648788472813,160,122,4.238945159227386e-215,3.628900264586918e-194,-76.13624976571688,0.6395545897349363,-0.36158334209201626,-14465.887455486207,-14579.529607687655,0.926609426447903,-0.7756638055425387,1.3164970350275347e-23,1.9278007390009007e-61,-1.278147444597367,0.0,0.0,0.0,0.0,-14429.544535727313,0.9194994783709712,-0.7793882346687679,1.7981110529047594e-25,8.583799689452114e-62,-1.257148660366687,0.0,0.0,0.0,0.0
OLS_AR5all,42/2_LT_Fits,r,1.081862659301516e-13,0.040169363417806775,174,148,1.1831803304567902e-303,9.757761676378836e-276,-114.49263481086659,0.7623741084297478,-0.434644878154008,-21753.600614064653,-21647.58042472753,1.1037255137139133,-0.9350342138986724,2.6285827544813365e-40,3.066382546038037e-95,-1.5150178529535006,0.0,0.0,0.0,0.0,-21487.052080681482,1.0969192393133773,-0.9387586430249014,1.8270765461760158e-42,2.8067979227662537e-95,-1.4940190687228205,0.0,0.0,0.0,0.0
butterworth,42/2_LT_Fits,c,13.044419069085135,0.19403943601204882,1,1,0.04668597026447065,0.9991702214359995,0.6634922895292734,0.0679471779268927,-0.039358562576212314,94.21590511315682,49.36099911040291,0.07095429476347917,-0.04644496369013928,1.8043591590600274,1.2743338949810699,-0.04688797662749323,2.4583333334846884,1.833333333331666,1.8038194445961278,38.2,45.54645516600527,0.07970326402452445,-0.050169392816368445,1.5007052019642937,1.3581982414595994,-0.025889192396813383,3.6250000001493845,2.2083333334994677,1.9885265701346804,36.2
