variable,Nat,Nat,Nat,Nat,Nat,Ant,Ant,Ant,Ant,Ant,Tot,Tot,Tot,Tot,Tot
percentile,5,17,83,95,50,5,17,83,95,50,5,17,83,95,50
Year,,,,,,,,,,,,,,,
1862,0.0088556226187695,0.0134402669717867,0.0308170184120535,0.037479224614799,0.0217073910559216,-0.0290035675279795,-0.0267199924650291,-0.0149514369263002,-0.0071039420474941,-0.0223597499231497,-0.1005070243030785,-0.070584221035242,0.0141165226077039,0.0465723846107721,-0.0300483719135323
1863,-0.0432159928604959,-0.0320684131731588,-0.0130857156775891,-0.0084118616922447,-0.0209237725163499,-0.0270361522212624,-0.0248121173245211,-0.0130117722321301,-0.0050316982436924,-0.0204939416920144,-0.1460714946190516,-0.1143401368707418,-0.0287645948367813,0.0047197157905126,-0.072529062628746
1864,-0.1093526413043339,-0.0910517035424709,-0.0476888182014226,-0.03324663353463,-0.0686552971601486,-0.024966367209951,-0.0227851929763952,-0.0109033037691066,-0.00277127699228,-0.0184890503684679,-0.1992109127342701,-0.1648827816545963,-0.0688099111368258,-0.0322816350497304,-0.1165857762098312
1865,-0.090465252722303,-0.0768906879921753,-0.0416046180203556,-0.0292187787902851,-0.0592195689678191,-0.0229425362932184,-0.0208779883881409,-0.0099601400426278,-0.0026425694445302,-0.0168564906343817,-0.1841656950612863,-0.1511461643874644,-0.0593487907821932,-0.0238741852343081,-0.1050965537627537
1866,-0.0508831913893421,-0.0417189724370836,-0.0204592418484389,-0.0143222440655032,-0.0304105648150046,-0.0208916441226998,-0.0189515217766165,-0.0090331418563921,-0.0025804121862164,-0.01521869826441,-0.1501464905838171,-0.118339849486947,-0.0323283843944469,0.0012127968405063,-0.0757814546426136
1867,-0.0215269397012889,-0.0157997548735389,-0.0037566227667653,0.0026715542383801,-0.0092483850506444,-0.0187740493876238,-0.0169449983599284,-0.0079207070280487,-0.0022362279201236,-0.0134720266796647,-0.1244844205677509,-0.0935200738658507,-0.0100108130276202,0.0224264153434584,-0.0527784911294777
1868,-0.0018235528569978,0.0007075723014228,0.0100113114155828,0.0177532224295039,0.0046854689717292,-0.0168184886996944,-0.0152071099728345,-0.0077884232408056,-0.0034992624539881,-0.0122365561934808,-0.1068118040760357,-0.0766969782859086,0.0054266556212678,0.0370401582370201,-0.0370384479562441
1869,0.0074830394315843,0.0109899058503409,0.0233435417711734,0.0296064481139182,0.0165700875222682,-0.0150477088677386,-0.0136022656255711,-0.007081745370912,-0.003507375550301,-0.0109448324268062,-0.0930165636042753,-0.0635494337727626,0.0180857396063704,0.0492990295713146,-0.0243438355003793
1870,0.0128030471348513,0.0182897507461408,0.0342058117190996,0.040646375529468,0.0261192908510565,-0.0134517426292101,-0.0120698170643299,-0.006031642096738,-0.0029454409183623,-0.0095332811276117,-0.0822004980097214,-0.053109929387768,0.0284175312891601,0.0594664721439281,-0.0140239192793766
1871,0.016670324668909,0.0237134791227678,0.0430872663855552,0.0504197256639599,0.0335245852669079,-0.0118832709422955,-0.0104806533424804,-0.0050234662151584,-0.0023945328934738,-0.0080688223242759,-0.0735230995963016,-0.0446161379665136,0.0369118777041633,0.0678986043979723,-0.0055220297654159
1872,0.0194600855000316,0.0276250494581957,0.049896031829218,0.0582655263443787,0.0389490959544975,-0.0092922484036534,-0.0082142918587972,-0.0037635322349766,-0.0014571288251317,-0.006320028565824,-0.0663906627645095,-0.0375245656818151,0.0441109683116276,0.0751168794929981,0.0016585212045659
1873,0.0182946202966073,0.0258974530175328,0.0470522596687078,0.0551593106860915,0.0365313738584518,-0.0075235865389307,-0.0065941538475453,-0.0030263777185852,-0.0012250840353468,-0.0050262624087432,-0.0667752433568239,-0.0381254113093018,0.042511510166029,0.0731408175081014,0.0005310493531094
1874,0.0177979871941109,0.025191688487927,0.046260021838049,0.0544497588649391,0.0356863352159658,-0.0068969704831639,-0.0056025635264813,-0.0025820529670454,-0.0011223813693504,-0.0041593703596541,-0.0662293974931041,-0.0378060469528038,0.0420034989590445,0.0723225134114424,0.0004353547507586
1875,0.0203193515849609,0.02877139247333,0.0526432635138431,0.0619023244827985,0.0407143607735633,-0.0057195487665012,-0.0038679692933024,-0.001285228903871,3.10590713828e-05,-0.0026936440650994,-0.0598597317313153,-0.0314970716709891,0.0484429076562324,0.0787807463357845,0.0068730514807005
1876,0.0206691407598554,0.0292484906129538,0.0538854690144458,0.063572550130387,0.0414890715231497,-0.0034651865212556,-0.0019612131038835,0.0001818480470683,0.0011680667075173,-0.0009779417402265,-0.0570438236619035,-0.0287917202711104,0.0508374453956881,0.0810755124936501,0.0094497300063569
1877,0.0203360541102786,0.0287816517117122,0.0536625054230292,0.0636351098616917,0.0410269207010666,-0.0025615675180839,-0.0006812813773285,0.0017197482660412,0.0025199904145361,0.0006563590238025,-0.0555879567439357,-0.0274841803126036,0.0516663796330491,0.0817692113419373,0.0105299142499764
1878,0.0207337082053224,0.0293558393046259,0.0551022454723715,0.0655864782631397,0.0419487841427325,-0.0021021864415766,0.0002779115725813,0.0035668872692621,0.0042838871867085,0.0024541253224014,-0.0528625516841808,-0.0248658630251884,0.0540091596171259,0.0840762871007124,0.0130411032587289
1879,0.0213914741451541,0.030284213827302,0.0570700448130567,0.068117772663633,0.0433237385004758,-0.0025568683476496,0.0008511693179024,0.005346156709517,0.0060278847968826,0.0041214607966442,-0.0499889447043339,-0.0221033474244177,0.0565782911951342,0.0866357175012429,0.0157426653119424
1880,0.0210824641399084,0.0298507513602574,0.0567336022481321,0.0680053170770406,0.0428524917612472,-0.0029212034482042,0.0014032243279507,0.0068359376816078,0.0075213218728701,0.0054781260744978,-0.0489092975233991,-0.0212125466826061,0.0569658890242377,0.0868767778078714,0.016406039862583
1881,0.0207770979652801,0.0294127466281254,0.0561682905008395,0.0675644601384798,0.0423021689057349,-0.0025426490698009,0.0023011081553219,0.0085269008359561,0.0093040447992582,0.0068658163460591,-0.0476144638533393,-0.0201233783053854,0.0574602913235624,0.0871798952420552,0.0172185276945431
1882,0.0226654209507007,0.032044976633042,0.0603808352972069,0.0724528035769859,0.045763574540615,-0.001657569167825,0.0035803933527009,0.0104558630349735,0.011385609426846,0.0084507150265077,-0.0424972629174589,-0.0151002049849678,0.0624245299771427,0.0921415101736783,0.0222762490933139
1883,0.0050339663944517,0.013872834900394,0.0344392713283498,0.0440251569574077,0.022954886779189,0.0005657627322155,0.0056062381326531,0.0124174235916385,0.0135069803024331,0.0101663758978247,-0.0614631186549861,-0.0342842807558675,0.0407414101312557,0.0696778344611326,0.0017147831931651
1884,-0.1578959234058856,-0.1260628303388754,-0.0597942928845683,-0.0410271223013598,-0.0896202810108661,0.0022232440882361,0.0073560615442692,0.0145443867798894,0.0157972981066753,0.01202828468134,-0.2023389702041944,-0.1636059839030106,-0.0614129166180888,-0.0256376821547745,-0.1114385786155859
1885,-0.277823985616366,-0.2337677694360414,-0.1229602930198113,-0.0855100919802983,-0.177156222363313,0.0027284625102765,0.0085799256044749,0.0167953491024672,0.018243248326083,0.0139016221898297,-0.3160815159479777,-0.2650374886393547,-0.1272889280070861,-0.0782714882244665,-0.1955110828081766
1886,-0.2207862901190916,-0.1883458495140075,-0.1021197719375292,-0.071538422256708,-0.145430584748586,0.0038644778736246,0.0102854336394617,0.0192881890883047,0.0209031012530127,0.0160954591507712,-0.2630224948128064,-0.2205110954244931,-0.1019669630130131,-0.0585466678564746,-0.1607653126120567
1887,-0.1581071227788925,-0.1329251453777153,-0.0694937415917714,-0.0488578387846549,-0.0997331452866395,0.0048567455805216,0.0119581044527391,0.021881574143966,0.0236720653871694,0.0183569466074307,-0.20287317186594,-0.1657340344786643,-0.0637416830907265,-0.027280575595796,-0.1137977975110212
1888,-0.110208562016487,-0.0904604234049717,-0.0410798918331662,-0.0283877364980677,-0.0638242450853188,0.0038846624627088,0.0123683107054481,0.0241593569517135,0.0262457964631418,0.0200085410227378,-0.1574909510711828,-0.1239327287922302,-0.0320927261499066,0.0004433606169186,-0.0771102259556451
1889,-0.0699772688249746,-0.0546380581582585,-0.0156880110067625,-0.0072142825694754,-0.0351589526981114,0.0034599771296294,0.0131213839258998,0.0265740882605313,0.0289518696876862,0.021839229390025,-0.119738620519638,-0.0886843734482924,-0.0042969847819767,0.0271965425771971,-0.045903901879986
