,0,1,2,,,
1988,0.317025752,0.317015238,0.317011685,,,
1989,0.346783673,0.346773913,0.34678126,,,
1990,0.339204959,0.339200558,0.339210163,,,
1991,0.342513399,0.342502963,0.342500978,,,
1992,0.32957044,0.329552277,0.329564351,,,
1993,0.302029792,0.302020597,0.30200357,,,
1994,0.2806334,0.280638135,0.280633201,,,
1995,0.274609225,0.274615082,0.274614199,,,
1996,0.261728526,0.261729991,0.261737712,,,
1997,0.265401541,0.265395697,0.265406612,,,
1998,0.288105613,0.28809412,0.288103552,,,
1999,0.301764517,0.301767869,0.301760197,,,
2000,0.309297888,0.309297317,0.309281707,,,
2001,0.307083706,0.307085779,0.307076127,,,
2002,0.307643449,0.307643811,0.307635343,,,
2003,0.274216649,0.274210673,0.274220014,,,
2004,0.248734985,0.248737944,0.248735887,,,
2005,0.226721769,0.22672305,0.226712542,,,
